Strategy,CAGR,Annual_Return,Volatility,Sharpe,Sortino,Calmar,Max_Drawdown,Turnover,Average_Turnover_Per_Rebalance,Transaction_Cost_Drag,Hit_Rate_By_Rebalance,Beats_Equal_Weight_CAGR,Beats_Equal_Weight_Sharpe,Evidence_Class,Notes
Asset-Class Momentum Rotation,0.3527069208679259,0.3527069208679259,0.3383403206015461,0.95373824448172,1.2722065568019254,0.9292924585610223,-0.3795435092781023,15.582681717385281,0.5565243470494743,0.0033755035468032296,0.5357142857142857,True,True,Moderate challenger,Long-only capped walk-forward challenger. Evidence class: Moderate challenger.
Dual Momentum Absolute,0.33461462283104715,0.33461462283104715,0.4628218229283237,0.7778552226701394,0.9980998910161678,0.5860244032499191,-0.570990936512836,17.623939552035658,0.629426412572702,0.003817678596372193,0.39285714285714285,True,False,Weak challenger,Positive absolute momentum rule versus a risk-free hurdle; no cash sleeve is assumed. Evidence class: Weak challenger.
Cross-Asset Relative Momentum,0.31688601644056,0.31688601644056,0.41189675893680094,0.7872335890467286,1.0057895647191037,0.6505163002817981,-0.487130017039216,15.734108908775303,0.5619324610276893,0.003408305540124392,0.39285714285714285,True,False,Weak challenger,Long-only capped walk-forward challenger. Evidence class: Weak challenger.
Equal Weight,0.18240411807742074,0.18240411807742074,0.18774532435016808,0.7923511587178995,0.9802883483701088,0.5805181100173716,-0.3142091778531464,2.9599453453736553,0.10571233376334484,0.0006411801378517145,0.0,False,False,Diagnostic only,Benchmark; retained as the reference champion unless a challenger wins out-of-sample. Evidence class: Diagnostic only.
Time-Series Momentum,0.1725913219382691,0.1725913219382691,0.28042543452162666,0.5786900784521835,0.6994849457849917,0.3551706011443837,-0.4859392116976129,18.11100263604517,0.646821522715899,0.003923185671303768,0.42857142857142855,False,False,Diagnostic only,Long-only capped walk-forward challenger. Evidence class: Diagnostic only.
Regime-Aware Allocation,0.1651551206709263,0.1651551206709263,0.1803880094741767,0.7355664035412073,0.912865077976042,0.5272279474220395,-0.31325183249195565,6.246220357163851,0.22307929847013752,0.0013530494527266106,0.32142857142857145,False,False,Diagnostic only,Rules use trailing volatility and drawdown only; no full-sample regime labels are used. Evidence class: Diagnostic only.
Momentum Tilt 6M/12M,0.16082108054550326,0.16082108054550326,0.22349124255425382,0.6162076844510532,0.7534263820608983,0.4401322636962124,-0.3653926190162351,10.639139658102838,0.37996927350367277,0.002304638848574713,0.39285714285714285,False,False,Diagnostic only,Trailing 6M/12M return tilt with volatility scaling and max-weight cap. Evidence class: Diagnostic only.
Volatility-Scaled Momentum,0.13606055568217634,0.13606055568217634,0.2674496065133238,0.47520884721004786,0.5692398422807128,0.27011135304263334,-0.5037202403732399,16.822172175994574,0.6007918634283776,0.003644000620358709,0.39285714285714285,False,False,Diagnostic only,Long-only capped walk-forward challenger. Evidence class: Diagnostic only.
Risk-Managed Equal Weight,0.13291904811677124,0.13291904811677124,0.1455560395582548,0.6794906189640056,0.8199503985661328,0.49007492672388736,-0.2712218905083039,3.8183917012522297,0.13637113218757962,0.0008271358527640934,0.42857142857142855,False,False,Diagnostic only,Long-only capped walk-forward challenger. Evidence class: Diagnostic only.
Signal-Aware HRP Lite,0.07512084827670185,0.07512084827670185,0.09003007676324817,0.4435081627949288,0.5276768118342106,0.42735858454843434,-0.17577942971726612,4.911069800159127,0.1753953500056831,0.001063830592813839,0.32142857142857145,False,False,Diagnostic only,Long-only capped walk-forward challenger. Evidence class: Diagnostic only.
Trend-Following MA,0.03687833111065797,0.03687833111065797,0.11543147053249692,0.054822587825577467,0.06044864534026389,0.12702002365840254,-0.2903347838277498,17.361933199065344,0.6200690428237623,0.003760923065470888,0.25,False,False,Diagnostic only,Long-only capped walk-forward challenger. Evidence class: Diagnostic only.
Shrunk Max Sharpe Nested,0.032913997503006165,0.032913997503006165,0.18644581226992404,0.06890777685010421,0.08850346211545324,0.07062466590980454,-0.46604110729586967,19.878666483365752,0.7099523744059197,0.004306095089233381,0.32142857142857145,False,False,Failed / not robust,Nested shrinkage selection uses only train/validation data inside each rebalance window. Evidence class: Failed / not robust.
