Strategy,Samples,CAGR_Diff,CAGR_Diff_CI_5,CAGR_Diff_CI_95,Sharpe_Diff,Sharpe_Diff_CI_5,Sharpe_Diff_CI_95,Conclusion
Equal Weight,300,0.0,0.0,0.0,0.0,0.0,0.0,Benchmark comparator.
Momentum Tilt 6M/12M,300,-0.02158303753191748,-0.07993618792811408,0.04692052044627078,-0.1761434742668463,-0.45269249737533607,0.09183535066260501,Interval crosses zero; do not treat the difference as statistically settled.
Time-Series Momentum,300,-0.009812796139151647,-0.1320724707946948,0.14016202538891928,-0.21366108026571606,-0.6654047369151831,0.18537753886515507,Interval crosses zero; do not treat the difference as statistically settled.
Cross-Asset Relative Momentum,300,0.13448189836313929,-0.0714210844954459,0.4479860621556168,-0.005117569671170941,-0.4285975352988197,0.336353071780504,Interval crosses zero; do not treat the difference as statistically settled.
Dual Momentum Absolute,300,0.1522105047536264,-0.09598017380163976,0.593986202034343,-0.014495936047760116,-0.48949286823200194,0.38110356747615115,Interval crosses zero; do not treat the difference as statistically settled.
Trend-Following MA,300,-0.14552578696676277,-0.2710886180195916,-0.06332593975518894,-0.737528570892322,-1.373746293720878,-0.17780128926532032,Negative CAGR difference in this bootstrap check.
Volatility-Scaled Momentum,300,-0.0463435623952444,-0.15430095671016814,0.08087935698470199,-0.31714231150785166,-0.7394420853695189,0.058182819143557434,Interval crosses zero; do not treat the difference as statistically settled.
Risk-Managed Equal Weight,300,-0.0494850699606495,-0.09755503638490956,-0.005454302769246908,-0.11286053975389387,-0.2390710562366129,0.02872258493320772,Negative CAGR difference in this bootstrap check.
Regime-Aware Allocation,300,-0.017248997406494437,-0.03670369712183232,-0.0028234043002988095,-0.056784755176692236,-0.14297361177289283,0.027232200591680036,Negative CAGR difference in this bootstrap check.
Asset-Class Momentum Rotation,300,0.17030280279050514,-0.0024679274249053648,0.4070173240647748,0.16138708576382044,-0.17911824458469502,0.489690159805812,Interval crosses zero; do not treat the difference as statistically settled.
Signal-Aware HRP Lite,300,-0.1072832698007189,-0.21704819438107112,-0.020217995975920933,-0.34884299592297074,-0.6193237109969248,-0.07131634881378987,Negative CAGR difference in this bootstrap check.
Shrunk Max Sharpe Nested,300,-0.14949012057441458,-0.2757243464535147,-0.05349395384351955,-0.7234433818677953,-1.3146380659587074,-0.2577952140192886,Negative CAGR difference in this bootstrap check.
