Date,Strategy,Window,Rolling_CAGR_Diff_vs_Equal_Weight
2020-10-02,Momentum Tilt 6M/12M,1Y,-0.08514596769949345
2020-10-05,Momentum Tilt 6M/12M,1Y,-0.08688756970664158
2020-10-06,Momentum Tilt 6M/12M,1Y,-0.08852483758350926
2020-10-07,Momentum Tilt 6M/12M,1Y,-0.08922384403158223
2020-10-08,Momentum Tilt 6M/12M,1Y,-0.09271885637062116
2020-10-09,Momentum Tilt 6M/12M,1Y,-0.09517723566968428
2020-10-12,Momentum Tilt 6M/12M,1Y,-0.09222820516229024
2020-10-13,Momentum Tilt 6M/12M,1Y,-0.0814825085119355
2020-10-14,Momentum Tilt 6M/12M,1Y,-0.0758816538537348
2020-10-15,Momentum Tilt 6M/12M,1Y,-0.07409585485247061
2020-10-16,Momentum Tilt 6M/12M,1Y,-0.07697811172358282
2020-10-19,Momentum Tilt 6M/12M,1Y,-0.077830346433857
2020-10-20,Momentum Tilt 6M/12M,1Y,-0.07678750523718891
2020-10-21,Momentum Tilt 6M/12M,1Y,-0.07058584569406734
2020-10-22,Momentum Tilt 6M/12M,1Y,-0.06757050528947839
2020-10-23,Momentum Tilt 6M/12M,1Y,-0.06859888359894262
2020-10-26,Momentum Tilt 6M/12M,1Y,-0.06665532455150336
2020-10-27,Momentum Tilt 6M/12M,1Y,-0.06888858762762551
2020-10-28,Momentum Tilt 6M/12M,1Y,-0.06648085097494194
2020-10-29,Momentum Tilt 6M/12M,1Y,-0.06772606637763023
2020-10-30,Momentum Tilt 6M/12M,1Y,-0.06914079640971549
2020-11-02,Momentum Tilt 6M/12M,1Y,-0.07393761988741576
2020-11-03,Momentum Tilt 6M/12M,1Y,-0.07572090321565828
2020-11-04,Momentum Tilt 6M/12M,1Y,-0.07829628451258652
2020-11-05,Momentum Tilt 6M/12M,1Y,-0.08140026184833271
2020-11-06,Momentum Tilt 6M/12M,1Y,-0.07886298850642293
2020-11-09,Momentum Tilt 6M/12M,1Y,-0.09164665038857067
2020-11-10,Momentum Tilt 6M/12M,1Y,-0.0994406643691943
2020-11-11,Momentum Tilt 6M/12M,1Y,-0.1013885709872191
2020-11-12,Momentum Tilt 6M/12M,1Y,-0.0974980213029788
2020-11-13,Momentum Tilt 6M/12M,1Y,-0.09810255451142957
2020-11-16,Momentum Tilt 6M/12M,1Y,-0.10386176808755998
2020-11-17,Momentum Tilt 6M/12M,1Y,-0.1048436837637905
2020-11-18,Momentum Tilt 6M/12M,1Y,-0.1069456689144932
2020-11-19,Momentum Tilt 6M/12M,1Y,-0.10966497895722682
2020-11-20,Momentum Tilt 6M/12M,1Y,-0.10701877185304265
2020-11-23,Momentum Tilt 6M/12M,1Y,-0.12055376950252783
2020-11-24,Momentum Tilt 6M/12M,1Y,-0.12699164896299675
2020-11-25,Momentum Tilt 6M/12M,1Y,-0.12781895362187012
2020-11-26,Momentum Tilt 6M/12M,1Y,-0.12428479987134344
2020-11-27,Momentum Tilt 6M/12M,1Y,-0.12511942016322863
2020-11-30,Momentum Tilt 6M/12M,1Y,-0.11613067283847656
2020-12-01,Momentum Tilt 6M/12M,1Y,-0.11897849674632566
2020-12-02,Momentum Tilt 6M/12M,1Y,-0.12276256413024877
2020-12-03,Momentum Tilt 6M/12M,1Y,-0.12606334359089377
2020-12-04,Momentum Tilt 6M/12M,1Y,-0.12268417385902342
2020-12-07,Momentum Tilt 6M/12M,1Y,-0.12364559123940633
2020-12-08,Momentum Tilt 6M/12M,1Y,-0.12286343289898083
2020-12-09,Momentum Tilt 6M/12M,1Y,-0.12282513884706114
2020-12-10,Momentum Tilt 6M/12M,1Y,-0.12545671969000072
2020-12-11,Momentum Tilt 6M/12M,1Y,-0.12423790919487288
2020-12-14,Momentum Tilt 6M/12M,1Y,-0.11326128867416174
2020-12-15,Momentum Tilt 6M/12M,1Y,-0.11529685994956895
2020-12-16,Momentum Tilt 6M/12M,1Y,-0.11874609967789018
2020-12-17,Momentum Tilt 6M/12M,1Y,-0.1219602229683503
2020-12-18,Momentum Tilt 6M/12M,1Y,-0.12009995889171132
2020-12-21,Momentum Tilt 6M/12M,1Y,-0.11582278961786696
2020-12-22,Momentum Tilt 6M/12M,1Y,-0.10831167033377764
2020-12-23,Momentum Tilt 6M/12M,1Y,-0.09340856068468661
2020-12-24,Momentum Tilt 6M/12M,1Y,-0.09561901697188202
2020-12-25,Momentum Tilt 6M/12M,1Y,-0.0948159083136717
2020-12-28,Momentum Tilt 6M/12M,1Y,-0.08184628922202664
2020-12-29,Momentum Tilt 6M/12M,1Y,-0.07602762127903961
2020-12-30,Momentum Tilt 6M/12M,1Y,-0.07700452668781299
2020-12-31,Momentum Tilt 6M/12M,1Y,-0.07112318231276715
2021-01-01,Momentum Tilt 6M/12M,1Y,-0.07314644904984124
2021-01-04,Momentum Tilt 6M/12M,1Y,-0.047534871927317646
2021-01-05,Momentum Tilt 6M/12M,1Y,-0.037404629523824395
2021-01-06,Momentum Tilt 6M/12M,1Y,-0.026307084363575983
2021-01-07,Momentum Tilt 6M/12M,1Y,-0.031232906811624606
2021-01-08,Momentum Tilt 6M/12M,1Y,-0.03034601592061259
2021-01-11,Momentum Tilt 6M/12M,1Y,-0.05080017389595226
2021-01-12,Momentum Tilt 6M/12M,1Y,-0.057948299247779333
2021-01-13,Momentum Tilt 6M/12M,1Y,-0.04391095616183471
2021-01-14,Momentum Tilt 6M/12M,1Y,-0.03131044405517147
2021-01-15,Momentum Tilt 6M/12M,1Y,-0.036798687201157865
2021-01-18,Momentum Tilt 6M/12M,1Y,-0.023241141099639595
2021-01-19,Momentum Tilt 6M/12M,1Y,-0.02213304293686047
2021-01-20,Momentum Tilt 6M/12M,1Y,-0.02121648428566658
2021-01-21,Momentum Tilt 6M/12M,1Y,-0.04532466359814724
2021-01-22,Momentum Tilt 6M/12M,1Y,-0.023613817035569307
2021-01-25,Momentum Tilt 6M/12M,1Y,-0.019821137640729347
2021-01-26,Momentum Tilt 6M/12M,1Y,-0.015950870095981617
2021-01-27,Momentum Tilt 6M/12M,1Y,-0.023626118153994735
2021-01-28,Momentum Tilt 6M/12M,1Y,-0.008979880782350014
2021-01-29,Momentum Tilt 6M/12M,1Y,0.006972525584085787
2021-02-01,Momentum Tilt 6M/12M,1Y,-0.00014999509559809887
2021-02-02,Momentum Tilt 6M/12M,1Y,0.015782734518165586
2021-02-03,Momentum Tilt 6M/12M,1Y,0.012296263676596864
2021-02-04,Momentum Tilt 6M/12M,1Y,0.00738949189236493
2021-02-05,Momentum Tilt 6M/12M,1Y,0.018428516213862656
2021-02-08,Momentum Tilt 6M/12M,1Y,0.04471662116153996
2021-02-09,Momentum Tilt 6M/12M,1Y,0.05414863917203383
2021-02-10,Momentum Tilt 6M/12M,1Y,0.06931396024697256
2021-02-11,Momentum Tilt 6M/12M,1Y,0.0695587502162276
2021-02-12,Momentum Tilt 6M/12M,1Y,0.0521609312332163
2021-02-15,Momentum Tilt 6M/12M,1Y,0.052952970834175606
2021-02-16,Momentum Tilt 6M/12M,1Y,0.05559447332927059
2021-02-17,Momentum Tilt 6M/12M,1Y,0.06985233632822885
2021-02-18,Momentum Tilt 6M/12M,1Y,0.08627027132069442
2021-02-19,Momentum Tilt 6M/12M,1Y,0.11706600927314725
2021-02-22,Momentum Tilt 6M/12M,1Y,0.10681520146987844
2021-02-23,Momentum Tilt 6M/12M,1Y,0.0758972376364726
2021-02-24,Momentum Tilt 6M/12M,1Y,0.07390578658920832
2021-02-25,Momentum Tilt 6M/12M,1Y,0.06658448540753703
2021-02-26,Momentum Tilt 6M/12M,1Y,0.0840869301034306
2021-03-01,Momentum Tilt 6M/12M,1Y,0.06110186569414999
2021-03-02,Momentum Tilt 6M/12M,1Y,0.052629621728983
2021-03-03,Momentum Tilt 6M/12M,1Y,0.05092891656812659
2021-03-04,Momentum Tilt 6M/12M,1Y,0.02364352328200736
2021-03-05,Momentum Tilt 6M/12M,1Y,0.02667686045495543
2021-03-08,Momentum Tilt 6M/12M,1Y,0.08567207090206086
2021-03-09,Momentum Tilt 6M/12M,1Y,0.11379518355922391
2021-03-10,Momentum Tilt 6M/12M,1Y,0.10097655738968081
2021-03-11,Momentum Tilt 6M/12M,1Y,0.10090384705605215
2021-03-12,Momentum Tilt 6M/12M,1Y,0.07588055127314064
2021-03-15,Momentum Tilt 6M/12M,1Y,0.0659220289003759
2021-03-16,Momentum Tilt 6M/12M,1Y,0.08086419820183766
2021-03-17,Momentum Tilt 6M/12M,1Y,0.09260892917828523
2021-03-18,Momentum Tilt 6M/12M,1Y,0.08687745527000512
2021-03-19,Momentum Tilt 6M/12M,1Y,0.1026044213564341
2021-03-22,Momentum Tilt 6M/12M,1Y,0.060660988652391
2021-03-23,Momentum Tilt 6M/12M,1Y,0.07206389419986836
2021-03-24,Momentum Tilt 6M/12M,1Y,0.07062862664450309
2021-03-25,Momentum Tilt 6M/12M,1Y,0.06489674004814816
2021-03-26,Momentum Tilt 6M/12M,1Y,0.08031542871051833
2021-03-29,Momentum Tilt 6M/12M,1Y,0.08433988109064039
2021-03-30,Momentum Tilt 6M/12M,1Y,0.09790005712829242
2021-03-31,Momentum Tilt 6M/12M,1Y,0.08480444636977813
2021-04-01,Momentum Tilt 6M/12M,1Y,0.10602569544725648
2021-04-02,Momentum Tilt 6M/12M,1Y,0.08084117906778543
2021-04-05,Momentum Tilt 6M/12M,1Y,0.09676812900330178
2021-04-06,Momentum Tilt 6M/12M,1Y,0.13667691496108558
2021-04-07,Momentum Tilt 6M/12M,1Y,0.08606861712909408
2021-04-08,Momentum Tilt 6M/12M,1Y,0.08818679868296275
2021-04-09,Momentum Tilt 6M/12M,1Y,0.12034041456750444
2021-04-12,Momentum Tilt 6M/12M,1Y,0.19687205014949916
2021-04-13,Momentum Tilt 6M/12M,1Y,0.19723677392181926
2021-04-14,Momentum Tilt 6M/12M,1Y,0.23412049012282932
2021-04-15,Momentum Tilt 6M/12M,1Y,0.24414997534196914
2021-04-16,Momentum Tilt 6M/12M,1Y,0.24564214232566073
2021-04-19,Momentum Tilt 6M/12M,1Y,0.1783270847650691
2021-04-20,Momentum Tilt 6M/12M,1Y,0.21569545713288063
2021-04-21,Momentum Tilt 6M/12M,1Y,0.18775397988283604
2021-04-22,Momentum Tilt 6M/12M,1Y,0.16665025003025669
2021-04-23,Momentum Tilt 6M/12M,1Y,0.1696587570836403
2021-04-26,Momentum Tilt 6M/12M,1Y,0.19891352337534451
2021-04-27,Momentum Tilt 6M/12M,1Y,0.252039634488638
2021-04-28,Momentum Tilt 6M/12M,1Y,0.23702372551939366
2021-04-29,Momentum Tilt 6M/12M,1Y,0.23436530929831845
2021-04-30,Momentum Tilt 6M/12M,1Y,0.24491265546602037
2021-05-03,Momentum Tilt 6M/12M,1Y,0.2942325946911053
2021-05-04,Momentum Tilt 6M/12M,1Y,0.2386626344471785
2021-05-05,Momentum Tilt 6M/12M,1Y,0.35312750381927804
2021-05-06,Momentum Tilt 6M/12M,1Y,0.3677898294440367
2021-05-07,Momentum Tilt 6M/12M,1Y,0.37319221005778624
2021-05-10,Momentum Tilt 6M/12M,1Y,0.38505111653093405
2021-05-11,Momentum Tilt 6M/12M,1Y,0.4341573136018839
2021-05-12,Momentum Tilt 6M/12M,1Y,0.338110516210576
2021-05-13,Momentum Tilt 6M/12M,1Y,0.4166428512172313
2021-05-14,Momentum Tilt 6M/12M,1Y,0.46366461803122183
2021-05-17,Momentum Tilt 6M/12M,1Y,0.3931016496243327
2021-05-18,Momentum Tilt 6M/12M,1Y,0.3876390866953163
2021-05-19,Momentum Tilt 6M/12M,1Y,0.22133670045604426
2021-05-20,Momentum Tilt 6M/12M,1Y,0.32126439864021394
2021-05-21,Momentum Tilt 6M/12M,1Y,0.2540897043052084
2021-05-24,Momentum Tilt 6M/12M,1Y,0.2755602397866719
2021-05-25,Momentum Tilt 6M/12M,1Y,0.2925726126204138
2021-05-26,Momentum Tilt 6M/12M,1Y,0.3628414686682784
2021-05-27,Momentum Tilt 6M/12M,1Y,0.3136947625569717
2021-05-28,Momentum Tilt 6M/12M,1Y,0.24748139161793725
2021-05-31,Momentum Tilt 6M/12M,1Y,0.26186169485020816
2021-06-01,Momentum Tilt 6M/12M,1Y,0.275425229301105
2021-06-02,Momentum Tilt 6M/12M,1Y,0.2958056012341741
2021-06-03,Momentum Tilt 6M/12M,1Y,0.3434397602524357
2021-06-04,Momentum Tilt 6M/12M,1Y,0.29417738469992205
2021-06-07,Momentum Tilt 6M/12M,1Y,0.24179493715509803
2021-06-08,Momentum Tilt 6M/12M,1Y,0.23244356875550887
2021-06-09,Momentum Tilt 6M/12M,1Y,0.26587981738504096
2021-06-10,Momentum Tilt 6M/12M,1Y,0.23276355863852904
2021-06-11,Momentum Tilt 6M/12M,1Y,0.18843317467979492
2021-06-14,Momentum Tilt 6M/12M,1Y,0.2361146359278159
2021-06-15,Momentum Tilt 6M/12M,1Y,0.23248348317731304
2021-06-16,Momentum Tilt 6M/12M,1Y,0.20066506742251367
2021-06-17,Momentum Tilt 6M/12M,1Y,0.2069128046078963
2021-06-18,Momentum Tilt 6M/12M,1Y,0.19574933252893612
2021-06-21,Momentum Tilt 6M/12M,1Y,0.11112215001064829
2021-06-22,Momentum Tilt 6M/12M,1Y,0.10545988930785577
2021-06-23,Momentum Tilt 6M/12M,1Y,0.16508794295015128
2021-06-24,Momentum Tilt 6M/12M,1Y,0.18750952327192905
2021-06-25,Momentum Tilt 6M/12M,1Y,0.154035603494729
2021-06-28,Momentum Tilt 6M/12M,1Y,0.16457831630300124
