Subperiod,Strategy,Start,End,CAGR,Sharpe,Max_Drawdown,CAGR_Diff_vs_Equal_Weight,Sharpe_Diff_vs_Equal_Weight
pre-COVID,Equal Weight,2019-10-17,2020-02-19,0.2899551770798092,2.2346765915367164,-0.04415253200889746,0.0,0.0
COVID crash,Equal Weight,2020-02-20,2020-04-30,-0.5590306792465667,-1.4753331786824677,-0.2955559367959998,0.0,0.0
2022 inflation/rate shock,Equal Weight,2022-01-03,2022-12-30,-0.15843783336180273,-0.9931966071664323,-0.21268223888340465,0.0,0.0
recent period,Equal Weight,2024-01-01,2026-06-24,0.15761373794595257,0.8546348109091284,-0.14599293319081064,0.0,0.0
pre-COVID,Momentum Tilt 6M/12M,2019-10-17,2020-02-19,0.21884794625231963,2.5272478091887827,-0.02604379767329701,-0.0711072308274896,0.2925712176520663
COVID crash,Momentum Tilt 6M/12M,2020-02-20,2020-04-30,-0.4938581759584707,-1.4282249100725295,-0.26206275199611695,0.06517250328809598,0.04710826860993822
2022 inflation/rate shock,Momentum Tilt 6M/12M,2022-01-03,2022-12-30,-0.22618726090714358,-1.1946025963089608,-0.2553630222682426,-0.06774942754534086,-0.2014059891425285
recent period,Momentum Tilt 6M/12M,2024-01-01,2026-06-24,0.14600613413684083,0.7297175546637883,-0.13228200366154186,-0.011607603809111744,-0.12491725624534011
pre-COVID,Time-Series Momentum,2019-10-17,2020-02-19,0.252972832617395,3.1161330291701406,-0.016845034539274995,-0.03698234446241422,0.8814564376334242
COVID crash,Time-Series Momentum,2020-02-20,2020-04-30,-0.48630499568975594,-1.3134534204065744,-0.2646019951354941,0.07272568355681075,0.1618797582758933
2022 inflation/rate shock,Time-Series Momentum,2022-01-03,2022-12-30,-0.27065358682410634,-1.0820038518406836,-0.3143259998072454,-0.11221575346230361,-0.08880724467425127
recent period,Time-Series Momentum,2024-01-01,2026-06-24,0.13910534016874876,0.6333273001603332,-0.12083452497479008,-0.01850839777720381,-0.22130751074879518
pre-COVID,Cross-Asset Relative Momentum,2019-10-17,2020-02-19,0.38965954142383863,1.8047148270005993,-0.09666469936665822,0.0997043643440294,-0.4299617645361171
COVID crash,Cross-Asset Relative Momentum,2020-02-20,2020-04-30,-0.6282768790430989,-1.190133082879906,-0.35028784146180525,-0.06924619979653224,0.2852000958025618
