Strategy,CAGR_Diff,Sharpe_Diff,Volatility_Diff,Max_Drawdown_Diff,Hit_Rate_By_Rebalance
Equal Weight,0.0,0.0,0.0,0.0,0.0
Momentum Tilt 6M/12M,-0.02158303753191748,-0.1761434742668463,0.035745918204085736,-0.051183441163088705,0.39285714285714285
Time-Series Momentum,-0.009812796139151647,-0.21366108026571606,0.09268011017145858,-0.1717300338444665,0.42857142857142855
Cross-Asset Relative Momentum,0.13448189836313929,-0.005117569671170941,0.22415143458663286,-0.1729208391860696,0.39285714285714285
Dual Momentum Absolute,0.1522105047536264,-0.014495936047760116,0.27507649857815564,-0.25678175865968955,0.39285714285714285
Trend-Following MA,-0.14552578696676277,-0.737528570892322,-0.07231385381767116,0.023874394025396595,0.25
Volatility-Scaled Momentum,-0.0463435623952444,-0.31714231150785166,0.0797042821631557,-0.18951106252009353,0.39285714285714285
Risk-Managed Equal Weight,-0.0494850699606495,-0.11286053975389387,-0.04218928479191328,0.04298728734484247,0.42857142857142855
Regime-Aware Allocation,-0.017248997406494437,-0.056784755176692236,-0.0073573148759913665,0.0009573453611907423,0.32142857142857145
Asset-Class Momentum Rotation,0.17030280279050514,0.16138708576382044,0.15059499625137804,-0.06533433142495593,0.5357142857142857
Signal-Aware HRP Lite,-0.1072832698007189,-0.34884299592297074,-0.0977152475869199,0.13842974813588027,0.32142857142857145
Shrunk Max Sharpe Nested,-0.14949012057441458,-0.7234433818677953,-0.0012995120802440363,-0.15183192944272328,0.32142857142857145
