Ticker,Asset_Class,Raw_Observations,Raw_Coverage_Pct,First_Valid_Date,Last_Valid_Date,Stale_Days_At_Analysis_End,Included_In_Returns,Return_Observations,Decision_Reason
ADA-USD,crypto,3149,75.1192748091603,2017-11-09,2026-06-23,0,True,2248,included
AGG,fixed_income,2884,68.79770992366412,2015-01-02,2026-06-23,0,True,2248,included
BNB-USD,crypto,3149,75.1192748091603,2017-11-09,2026-06-23,0,True,2248,included
BTC-USD,crypto,4192,100.0,2015-01-01,2026-06-23,0,True,2248,included
CPER,commodities,2884,68.79770992366412,2015-01-02,2026-06-23,0,True,2248,included
DBA,commodities,2884,68.79770992366412,2015-01-02,2026-06-23,0,True,2248,included
EEM,international_equity,2884,68.79770992366412,2015-01-02,2026-06-23,0,True,2248,included
EFA,international_equity,2884,68.79770992366412,2015-01-02,2026-06-23,0,True,2248,included
ETH-USD,crypto,3149,75.1192748091603,2017-11-09,2026-06-23,0,True,2248,included
FXI,international_equity,2884,68.79770992366412,2015-01-02,2026-06-23,0,True,2248,included
GLD,commodities,2884,68.79770992366412,2015-01-02,2026-06-23,0,True,2248,included
HYG,fixed_income,2884,68.79770992366412,2015-01-02,2026-06-23,0,True,2248,included
IEF,fixed_income,2884,68.79770992366412,2015-01-02,2026-06-23,0,True,2248,included
INDA,international_equity,2884,68.79770992366412,2015-01-02,2026-06-23,0,True,2248,included
LQD,fixed_income,2884,68.79770992366412,2015-01-02,2026-06-23,0,True,2248,included
PPLT,commodities,2884,68.79770992366412,2015-01-02,2026-06-23,0,True,2248,included
SHY,fixed_income,2884,68.79770992366412,2015-01-02,2026-06-23,0,True,2248,included
SLV,commodities,2884,68.79770992366412,2015-01-02,2026-06-23,0,True,2248,included
TIP,fixed_income,2884,68.79770992366412,2015-01-02,2026-06-23,0,True,2248,included
TLT,fixed_income,2884,68.79770992366412,2015-01-02,2026-06-23,0,True,2248,included
UNG,commodities,2884,68.79770992366412,2015-01-02,2026-06-23,0,True,2248,included
USO,commodities,2884,68.79770992366412,2015-01-02,2026-06-23,0,True,2248,included
VGK,international_equity,2884,68.79770992366412,2015-01-02,2026-06-23,0,True,2248,included
VNQ,reits,2884,68.79770992366412,2015-01-02,2026-06-23,0,True,2248,included
VNQI,reits,2884,68.79770992366412,2015-01-02,2026-06-23,0,True,2248,included
VPL,international_equity,2884,68.79770992366412,2015-01-02,2026-06-23,0,True,2248,included
XLB,us_equity_sectors,2884,68.79770992366412,2015-01-02,2026-06-23,0,True,2248,included
XLE,us_equity_sectors,2884,68.79770992366412,2015-01-02,2026-06-23,0,True,2248,included
XLF,us_equity_sectors,2884,68.79770992366412,2015-01-02,2026-06-23,0,True,2248,included
XLI,us_equity_sectors,2884,68.79770992366412,2015-01-02,2026-06-23,0,True,2248,included
XLK,us_equity_sectors,2884,68.79770992366412,2015-01-02,2026-06-23,0,True,2248,included
XLP,us_equity_sectors,2884,68.79770992366412,2015-01-02,2026-06-23,0,True,2248,included
XLRE,us_equity_sectors,2691,64.19370229007633,2015-10-08,2026-06-23,0,True,2248,included
XLU,us_equity_sectors,2884,68.79770992366412,2015-01-02,2026-06-23,0,True,2248,included
XLV,us_equity_sectors,2884,68.79770992366412,2015-01-02,2026-06-23,0,True,2248,included
XLY,us_equity_sectors,2884,68.79770992366412,2015-01-02,2026-06-23,0,True,2248,included
XRP-USD,crypto,3149,75.1192748091603,2017-11-09,2026-06-23,0,True,2248,included
SOL-USD,crypto,2266,54.05534351145038,2020-04-10,2026-06-23,0,False,0,failed_min_history_or_cleaning_rule
XLC,us_equity_sectors,2013,48.020038167938935,2018-06-19,2026-06-23,0,False,0,failed_min_history_or_cleaning_rule
