Portfolio,Ticker,Asset_Class,Weight,Weight_Percent,Included
Equal Weight,XLK,us_equity_sectors,0.02702703,2.70270270,True
Min Variance,XLK,us_equity_sectors,0.00000000,0.00000000,False
Max Sharpe,XLK,us_equity_sectors,0.09416294,9.41629387,True
HRP,XLK,us_equity_sectors,0.00522957,0.52295727,True
Risk Parity,XLK,us_equity_sectors,0.01248706,1.24870551,True
Inv Volatility,XLK,us_equity_sectors,0.01954396,1.95439574,True
Min CVaR,XLK,us_equity_sectors,0.00000000,0.00000000,False
Equal Weight,XLF,us_equity_sectors,0.02702703,2.70270270,True
Min Variance,XLF,us_equity_sectors,0.00000000,0.00000000,False
Max Sharpe,XLF,us_equity_sectors,0.00000000,0.00000000,False
HRP,XLF,us_equity_sectors,0.00608414,0.60841352,True
Risk Parity,XLF,us_equity_sectors,0.01465265,1.46526498,True
Inv Volatility,XLF,us_equity_sectors,0.02203724,2.20372370,True
Min CVaR,XLF,us_equity_sectors,0.00000000,0.00000000,False
Equal Weight,XLE,us_equity_sectors,0.02702703,2.70270270,True
Min Variance,XLE,us_equity_sectors,0.00000000,0.00000000,False
Max Sharpe,XLE,us_equity_sectors,0.00000000,0.00000000,False
HRP,XLE,us_equity_sectors,0.00518714,0.51871413,True
Risk Parity,XLE,us_equity_sectors,0.01266334,1.26633423,True
Inv Volatility,XLE,us_equity_sectors,0.01656781,1.65678058,True
Min CVaR,XLE,us_equity_sectors,0.00000000,0.00000000,False
Equal Weight,XLV,us_equity_sectors,0.02702703,2.70270270,True
Min Variance,XLV,us_equity_sectors,0.00767383,0.76738301,True
Max Sharpe,XLV,us_equity_sectors,0.00303408,0.30340808,True
HRP,XLV,us_equity_sectors,0.01198922,1.19892240,True
Risk Parity,XLV,us_equity_sectors,0.02037228,2.03722848,True
Inv Volatility,XLV,us_equity_sectors,0.02869866,2.86986576,True
Min CVaR,XLV,us_equity_sectors,0.00000000,0.00000000,False
Equal Weight,XLI,us_equity_sectors,0.02702703,2.70270270,True
Min Variance,XLI,us_equity_sectors,0.00000000,0.00000000,False
Max Sharpe,XLI,us_equity_sectors,0.00000000,0.00000000,False
HRP,XLI,us_equity_sectors,0.00458189,0.45818883,True
Risk Parity,XLI,us_equity_sectors,0.01461698,1.46169758,True
Inv Volatility,XLI,us_equity_sectors,0.02393584,2.39358393,True
Min CVaR,XLI,us_equity_sectors,0.00000000,0.00000000,False
Equal Weight,XLY,us_equity_sectors,0.02702703,2.70270270,True
Min Variance,XLY,us_equity_sectors,0.00000000,0.00000000,False
Max Sharpe,XLY,us_equity_sectors,0.00000000,0.00000000,False
HRP,XLY,us_equity_sectors,0.00687907,0.68790732,True
Risk Parity,XLY,us_equity_sectors,0.01322625,1.32262522,True
Inv Volatility,XLY,us_equity_sectors,0.02172100,2.17209990,True
Min CVaR,XLY,us_equity_sectors,0.00000000,0.00000000,False
Equal Weight,XLP,us_equity_sectors,0.02702703,2.70270270,True
Min Variance,XLP,us_equity_sectors,0.03570426,3.57042585,True
Max Sharpe,XLP,us_equity_sectors,0.06088774,6.08877374,True
HRP,XLP,us_equity_sectors,0.01389203,1.38920318,True
Risk Parity,XLP,us_equity_sectors,0.02466214,2.46621371,True
Inv Volatility,XLP,us_equity_sectors,0.03165629,3.16562932,True
Min CVaR,XLP,us_equity_sectors,0.03958917,3.95891739,True
Equal Weight,XLRE,us_equity_sectors,0.02702703,2.70270270,True
Min Variance,XLRE,us_equity_sectors,0.00000000,0.00000000,False
Max Sharpe,XLRE,us_equity_sectors,0.00000000,0.00000000,False
HRP,XLRE,us_equity_sectors,0.00759153,0.75915282,True
Risk Parity,XLRE,us_equity_sectors,0.01464477,1.46447693,True
Inv Volatility,XLRE,us_equity_sectors,0.02360351,2.36035073,True
Min CVaR,XLRE,us_equity_sectors,0.00000000,0.00000000,False
Equal Weight,XLU,us_equity_sectors,0.02702703,2.70270270,True
Min Variance,XLU,us_equity_sectors,0.00000000,0.00000000,False
Max Sharpe,XLU,us_equity_sectors,0.00000000,0.00000000,False
HRP,XLU,us_equity_sectors,0.00833406,0.83340570,True
Risk Parity,XLU,us_equity_sectors,0.01936635,1.93663494,True
Inv Volatility,XLU,us_equity_sectors,0.02506778,2.50677817,True
Min CVaR,XLU,us_equity_sectors,0.00000000,0.00000000,False
Equal Weight,XLB,us_equity_sectors,0.02702703,2.70270270,True
Min Variance,XLB,us_equity_sectors,0.00000000,0.00000000,False
Max Sharpe,XLB,us_equity_sectors,0.00000000,0.00000000,False
HRP,XLB,us_equity_sectors,0.00443968,0.44396760,True
Risk Parity,XLB,us_equity_sectors,0.01342997,1.34299667,True
Inv Volatility,XLB,us_equity_sectors,0.02331894,2.33189379,True
Min CVaR,XLB,us_equity_sectors,0.00000000,0.00000000,False
Equal Weight,EFA,international_equity,0.02702703,2.70270270,True
Min Variance,EFA,international_equity,0.00000000,0.00000000,False
Max Sharpe,EFA,international_equity,0.00000000,0.00000000,False
HRP,EFA,international_equity,0.00499068,0.49906822,True
Risk Parity,EFA,international_equity,0.01516914,1.51691423,True
Inv Volatility,EFA,international_equity,0.02784492,2.78449208,True
Min CVaR,EFA,international_equity,0.00000000,0.00000000,False
Equal Weight,EEM,international_equity,0.02702703,2.70270270,True
Min Variance,EEM,international_equity,0.00000000,0.00000000,False
