Strategy,Model_Family,League,CAGR,Annual_Return,Volatility,Sharpe,Sortino,Calmar,Max_Drawdown,Turnover,Transaction_Cost_Drag,Beats_Equal_Weight_CAGR,Beats_Equal_Weight_Sharpe,Beats_Equal_Weight_Calmar,Beats_Equal_Weight_After_25bps,Beats_Equal_Weight_After_50bps,Subperiod_Win_Rate,Bootstrap_CAGR_Diff_Lower,Bootstrap_CAGR_Diff_Upper,Bootstrap_Sharpe_Diff_Lower,Bootstrap_Sharpe_Diff_Upper,PBO_or_Overfit_Flag,Evidence_Class,Final_Label,Notes
Asset-Class Momentum Rotation,Asset-class momentum rotation,Research Candidate,0.3527069208679259,0.3527069208679259,0.3383403206015461,0.95373824448172,1.2722065568019254,0.9292924585610223,-0.3795435092781023,15.582681717385281,0.0033755035468032296,True,True,True,True,True,0.25,-0.0024679274249053648,0.4070173240647748,-0.17911824458469502,0.489690159805812,Bootstrap interval crosses zero; treat as exploratory.,Weak evidence,Research Candidate,Long-only capped walk-forward challenger. Evidence class: Weak evidence. Final label: Research Candidate.
Dual Momentum Absolute,Time-series momentum,Research Candidate,0.33461462283104715,0.33461462283104715,0.4628218229283237,0.7778552226701394,0.9980998910161678,0.5860244032499191,-0.570990936512836,17.623939552035658,0.003817678596372193,True,False,True,True,True,0.25,-0.09598017380163976,0.593986202034343,-0.48949286823200194,0.38110356747615115,Bootstrap interval crosses zero; treat as exploratory.,Weak evidence,Research Candidate,Positive absolute momentum rule versus a risk-free hurdle; no cash sleeve is assumed. Evidence class: Weak evidence. Final label: Research Candidate.
Cross-Asset Relative Momentum,Cross-asset momentum,Research Candidate,0.31688601644056,0.31688601644056,0.41189675893680094,0.7872335890467286,1.0057895647191037,0.6505163002817981,-0.487130017039216,15.734108908775303,0.003408305540124392,True,False,True,True,True,0.25,-0.0714210844954459,0.4479860621556168,-0.4285975352988197,0.336353071780504,Bootstrap interval crosses zero; treat as exploratory.,Weak evidence,Research Candidate,Long-only capped walk-forward challenger. Evidence class: Weak evidence. Final label: Research Candidate.
Equal Weight,Benchmark,Broad Default Champion,0.18240411807742074,0.18240411807742074,0.18774532435016808,0.7923511587178995,0.9802883483701088,0.5805181100173716,-0.3142091778531464,2.9599453453736553,0.0006411801378517145,False,False,False,True,True,0.0,0.0,0.0,0.0,0.0,Benchmark; no model selection flag.,Diagnostic only,Broad Default Champion,Hard-to-beat broad benchmark; does not estimate expected returns.
Time-Series Momentum,Time-series momentum,Diagnostic Only,0.1725913219382691,0.1725913219382691,0.28042543452162666,0.5786900784521835,0.6994849457849917,0.3551706011443837,-0.4859392116976129,18.11100263604517,0.003923185671303768,False,False,False,False,False,0.25,-0.1320724707946948,0.14016202538891928,-0.6654047369151831,0.18537753886515507,Bootstrap interval crosses zero; treat as exploratory.,Diagnostic only,Diagnostic Only,Long-only capped walk-forward challenger. Evidence class: Diagnostic only. Final label: Diagnostic Only.
Regime-Aware Allocation,Regime-aware rules,Diagnostic Only,0.1651551206709263,0.1651551206709263,0.1803880094741767,0.7355664035412073,0.912865077976042,0.5272279474220395,-0.31325183249195565,6.246220357163851,0.0013530494527266106,False,False,False,False,False,0.0,-0.03670369712183232,-0.0028234043002988095,-0.14297361177289283,0.027232200591680036,Bootstrap interval crosses zero; treat as exploratory.,Diagnostic only,Diagnostic Only,Rules use trailing volatility and drawdown only; no full-sample regime labels are used. Evidence class: Diagnostic only. Final label: Diagnostic Only.
Momentum Tilt 6M/12M,Cross-asset momentum,Diagnostic Only,0.16082108054550326,0.16082108054550326,0.22349124255425382,0.6162076844510532,0.7534263820608983,0.4401322636962124,-0.3653926190162351,10.639139658102838,0.002304638848574713,False,False,False,False,False,0.25,-0.07993618792811408,0.04692052044627078,-0.45269249737533607,0.09183535066260501,Bootstrap interval crosses zero; treat as exploratory.,Diagnostic only,Diagnostic Only,Trailing 6M/12M return tilt with volatility scaling and max-weight cap. Evidence class: Diagnostic only. Final label: Diagnostic Only.
Volatility-Scaled Momentum,Volatility-scaled momentum,Diagnostic Only,0.13606055568217634,0.13606055568217634,0.2674496065133238,0.47520884721004786,0.5692398422807128,0.27011135304263334,-0.5037202403732399,16.822172175994574,0.003644000620358709,False,False,False,False,False,0.25,-0.15430095671016814,0.08087935698470199,-0.7394420853695189,0.058182819143557434,Bootstrap interval crosses zero; treat as exploratory.,Diagnostic only,Diagnostic Only,Long-only capped walk-forward challenger. Evidence class: Diagnostic only. Final label: Diagnostic Only.
Risk-Managed Equal Weight,Risk-managed benchmark,Diagnostic Only,0.13291904811677124,0.13291904811677124,0.1455560395582548,0.6794906189640056,0.8199503985661328,0.49007492672388736,-0.2712218905083039,3.8183917012522297,0.0008271358527640934,False,False,False,False,False,0.5,-0.09755503638490956,-0.005454302769246908,-0.2390710562366129,0.02872258493320772,Bootstrap interval crosses zero; treat as exploratory.,Diagnostic only,Diagnostic Only,Long-only capped walk-forward challenger. Evidence class: Diagnostic only. Final label: Diagnostic Only.
Signal-Aware HRP Lite,Risk allocation with signal overlay,Defensive / Risk-Reduction Candidate,0.07512084827670185,0.07512084827670185,0.09003007676324817,0.4435081627949288,0.5276768118342106,0.42735858454843434,-0.17577942971726612,4.911069800159127,0.001063830592813839,False,False,False,False,False,0.5,-0.21704819438107112,-0.020217995975920933,-0.6193237109969248,-0.07131634881378987,Bootstrap interval crosses zero; treat as exploratory.,Diagnostic only,Defensive / Risk-Reduction Candidate,Long-only capped walk-forward challenger. Evidence class: Diagnostic only. Final label: Defensive / Risk-Reduction Candidate.
