Cost_Bps,Strategy,CAGR,Sharpe,Max_Drawdown,Total_Cost,Annualized_Cost_Drag_%,Interpretation
0,Equal Weight,0.1831603544364251,0.794030691742256,-0.3142091778531465,0.0,0.0,No-cost counterfactual; not a realistic implementation assumption
0,Min Variance,0.035056535652412624,-0.029326508933979055,-0.11166230020653367,0.0,0.0,No-cost counterfactual; not a realistic implementation assumption
0,Max Sharpe,0.056285002294758524,0.189432446512503,-0.42744398109997106,0.0,0.0,No-cost counterfactual; not a realistic implementation assumption
0,Inverse Vol,0.08212036944861523,0.5412200648512238,-0.1589677625978274,0.0,0.0,No-cost counterfactual; not a realistic implementation assumption
0,HRP,0.1248378522167004,0.7331414132799345,-0.19919074762187527,0.0,0.0,No-cost counterfactual; not a realistic implementation assumption
5,Equal Weight,0.18290824346237256,0.792903137176973,-0.31420917785314617,0.0014799726726868277,0.021372671261723812,Moderate transaction-cost case for Equal Weight
5,Min Variance,0.034695083160660944,-0.03685392404327682,-0.11192095321318996,0.0024202534043229465,0.034951510480766904,Moderate transaction-cost case for Min Variance
5,Max Sharpe,0.055038062857847514,0.18332376373563603,-0.4286547155516607,0.00820467328710763,0.11848582626653999,Moderate transaction-cost case for Max Sharpe
5,Inverse Vol,0.08189993357749725,0.5388107106528437,-0.1591100183756805,0.001412260745662563,0.020394825668020967,Moderate transaction-cost case for Inverse Vol
5,HRP,0.12445042090429648,0.7302801767843065,-0.1993517492195599,0.0023883606318793106,0.034490938638027865,Moderate transaction-cost case for HRP
10,Equal Weight,0.1826561646774323,0.7917751455870544,-0.3142091778531466,0.0029599453453736553,0.042745342523447624,Moderate transaction-cost case for Equal Weight
10,Min Variance,0.03433367266225562,-0.04438104394692379,-0.11217955457482609,0.004840506808645893,0.06990302096153381,Moderate transaction-cost case for Min Variance
10,Max Sharpe,0.053792129708055914,0.17721185644067283,-0.42986335439008505,0.01640934657421526,0.23697165253307997,Moderate transaction-cost case for Max Sharpe
10,Inverse Vol,0.08167950864074336,0.5363988817413575,-0.15925225719116654,0.002824521491325126,0.040789651336041934,Moderate transaction-cost case for Inverse Vol
10,HRP,0.12406306711303206,0.7274163432603368,-0.19951272700073086,0.004776721263758621,0.06898187727605573,Moderate transaction-cost case for HRP
25,Equal Weight,0.18190012141547052,0.7883885657161606,-0.31420917785314617,0.007399863363434137,0.10686335630861905,High-cost stress case for Equal Weight; conclusions should be robust to fee drag
25,Min Variance,0.03324969290642121,-0.06695214232040626,-0.11295504885605312,0.012101267021614733,0.17475755240383453,High-cost stress case for Min Variance; conclusions should be robust to fee drag
25,Max Sharpe,0.05006036287996318,0.15885892951083533,-0.43347672610644306,0.04102336643553815,0.5924291313326999,High-cost stress case for Max Sharpe; conclusions should be robust to fee drag
25,Inverse Vol,0.08101829932758653,0.5291488641764924,-0.15967887187590168,0.007061303728312815,0.10197412834010483,High-cost stress case for Inverse Vol; conclusions should be robust to fee drag
25,HRP,0.12290147072520785,0.7188095534579471,-0.19999551746828037,0.011941803159396556,0.17245469319013937,High-cost stress case for HRP; conclusions should be robust to fee drag
