ticker,name,exchange,country,currency,source,source_url,as_of_date,data_provider,market_cap_usd,market_cap_rank,sector,industry,notes,source_method,rank_universe,rank_method
NVDA.SW,NVIDIA CORP,EBS,Europe exchange listing,CHF,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/NVDA.SW,2026-07-02,Yahoo Finance via yfinance,4914145006143.68,1,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=CHF; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance broad Europe exchange-listed equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
NVD.F,NVIDIA CORP.                  R,FRA,Europe exchange listing,EUR,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/NVD.F,2026-07-02,Yahoo Finance via yfinance,4788507000906.69,2,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=EUR; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance broad Europe exchange-listed equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
1NVDA.MI,NVIDIA CORP,MIL,Europe exchange listing,EUR,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/1NVDA.MI,2026-07-02,Yahoo Finance via yfinance,4770861441177.81,3,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=EUR; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance broad Europe exchange-listed equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
NVD.DE,NVIDIA CORP.                  R,GER,Europe exchange listing,EUR,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/NVD.DE,2026-07-02,Yahoo Finance via yfinance,4768656268410.94,4,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=EUR; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance broad Europe exchange-listed equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
1GOOGL.MI,ALPHABET CLASSE A,MIL,Europe exchange listing,EUR,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/1GOOGL.MI,2026-07-02,Yahoo Finance via yfinance,4408761330472.69,5,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=EUR; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance broad Europe exchange-listed equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
ABEA.F,Alphabet Inc.                 R,FRA,Europe exchange listing,EUR,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/ABEA.F,2026-07-02,Yahoo Finance via yfinance,4406677904727.31,6,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=EUR; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance broad Europe exchange-listed equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
ABEA.DE,Alphabet Inc.                 R,GER,Europe exchange listing,EUR,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/ABEA.DE,2026-07-02,Yahoo Finance via yfinance,4402510754837.0,7,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=EUR; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance broad Europe exchange-listed equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
1GOOG.MI,ALPHABET CLASSE C,MIL,Europe exchange listing,EUR,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/1GOOG.MI,2026-07-02,Yahoo Finance via yfinance,4369173854114.06,8,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=EUR; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance broad Europe exchange-listed equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
ABEC.DE,Alphabet Inc.                 R,GER,Europe exchange listing,EUR,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/ABEC.DE,2026-07-02,Yahoo Finance via yfinance,4366396052586.75,9,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=EUR; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance broad Europe exchange-listed equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
ABEC.F,Alphabet Inc.                 R,FRA,Europe exchange listing,EUR,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/ABEC.F,2026-07-02,Yahoo Finance via yfinance,4357367675423.75,10,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=EUR; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance broad Europe exchange-listed equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
GOOGL.SW,ALPHABET INC-A,EBS,Europe exchange listing,CHF,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/GOOGL.SW,2026-07-02,Yahoo Finance via yfinance,4346747733173.94,11,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=CHF; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance broad Europe exchange-listed equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
APC.F,Apple Inc.                    R,FRA,Europe exchange listing,EUR,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/APC.F,2026-07-02,Yahoo Finance via yfinance,4337660771517.12,12,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=EUR; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance broad Europe exchange-listed equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
APC.DE,Apple Inc.                    R,GER,Europe exchange listing,EUR,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/APC.DE,2026-07-02,Yahoo Finance via yfinance,4332644674871.5,13,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=EUR; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance broad Europe exchange-listed equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
1AAPL.MI,APPLE,MIL,Europe exchange listing,EUR,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/1AAPL.MI,2026-07-02,Yahoo Finance via yfinance,4329301406173.25,14,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=EUR; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance broad Europe exchange-listed equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
NVDG.F,NVIDIA Corp.                  R,FRA,Europe exchange listing,EUR,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/NVDG.F,2026-07-02,Yahoo Finance via yfinance,4317477025109.62,15,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=EUR; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance broad Europe exchange-listed equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
AAPL.SW,APPLE INC,EBS,Europe exchange listing,CHF,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/AAPL.SW,2026-07-02,Yahoo Finance via yfinance,4173873084368.84,16,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=CHF; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance broad Europe exchange-listed equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
ABE0.F,Alphabet Inc.                 R,FRA,Europe exchange listing,EUR,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/ABE0.F,2026-07-02,Yahoo Finance via yfinance,3991786137022.94,17,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=EUR; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance broad Europe exchange-listed equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
