ticker,name,sleeve,region,country,exchange,currency,asset_type,sector,industry,market_cap_usd,market_cap_rank,as_of_date,source,source_url,data_provider,investable,benchmark_only,signal_only,include,proxy_type,source_method,notes
ADS.DE,Adidas,global_equity_europe,Europe,Germany,FWB: ADS,EUR,equity,Consumer Discretionary,,,,2026-06-30,Wikipedia EURO STOXX 50 constituents,https://en.wikipedia.org/wiki/EURO_STOXX_50,public_web_source,True,False,False,True,direct_listing,index_proxy,EURO STOXX 50 index proxy retrieved 2026-06-30; not Europe top-100 by market cap.
ADYEN.AS,Adyen,global_equity_europe,Europe,Netherlands,Euronext: ADYEN,EUR,equity,Financials,,,,2026-06-30,Wikipedia EURO STOXX 50 constituents,https://en.wikipedia.org/wiki/EURO_STOXX_50,public_web_source,True,False,False,True,direct_listing,index_proxy,EURO STOXX 50 index proxy retrieved 2026-06-30; not Europe top-100 by market cap.
AD.AS,Ahold Delhaize,global_equity_europe,Europe,Netherlands,Euronext: AD,EUR,equity,Consumer Staples,,,,2026-06-30,Wikipedia EURO STOXX 50 constituents,https://en.wikipedia.org/wiki/EURO_STOXX_50,public_web_source,True,False,False,True,direct_listing,index_proxy,EURO STOXX 50 index proxy retrieved 2026-06-30; not Europe top-100 by market cap.
AI.PA,Air Liquide,global_equity_europe,Europe,France,Euronext Paris: AI,EUR,equity,Materials,,,,2026-06-30,Wikipedia EURO STOXX 50 constituents,https://en.wikipedia.org/wiki/EURO_STOXX_50,public_web_source,True,False,False,True,direct_listing,index_proxy,EURO STOXX 50 index proxy retrieved 2026-06-30; not Europe top-100 by market cap.
AIR.PA,Airbus,global_equity_europe,Europe,France,Euronext: AIR,EUR,equity,Industrials,,,,2026-06-30,Wikipedia EURO STOXX 50 constituents,https://en.wikipedia.org/wiki/EURO_STOXX_50,public_web_source,True,False,False,True,direct_listing,index_proxy,EURO STOXX 50 index proxy retrieved 2026-06-30; not Europe top-100 by market cap.
ALV.DE,Allianz,global_equity_europe,Europe,Germany,FWB: ALV,EUR,equity,Financials,,,,2026-06-30,Wikipedia EURO STOXX 50 constituents,https://en.wikipedia.org/wiki/EURO_STOXX_50,public_web_source,True,False,False,True,direct_listing,index_proxy,EURO STOXX 50 index proxy retrieved 2026-06-30; not Europe top-100 by market cap.
ABI.BR,Anheuser-Busch InBev,global_equity_europe,Europe,Belgium,Euronext: ABI,EUR,equity,Consumer Staples,,,,2026-06-30,Wikipedia EURO STOXX 50 constituents,https://en.wikipedia.org/wiki/EURO_STOXX_50,public_web_source,True,False,False,True,direct_listing,index_proxy,EURO STOXX 50 index proxy retrieved 2026-06-30; not Europe top-100 by market cap.
ARGX.BR,Argenx,global_equity_europe,Europe,Netherlands,Euronext: ARGX,EUR,equity,Health Care,,,,2026-06-30,Wikipedia EURO STOXX 50 constituents,https://en.wikipedia.org/wiki/EURO_STOXX_50,public_web_source,True,False,False,True,direct_listing,index_proxy,EURO STOXX 50 index proxy retrieved 2026-06-30; not Europe top-100 by market cap.
ASML.AS,ASML Holding,global_equity_europe,Europe,Netherlands,Euronext: ASML,EUR,equity,Information Technology,,,,2026-06-30,Wikipedia EURO STOXX 50 constituents,https://en.wikipedia.org/wiki/EURO_STOXX_50,public_web_source,True,False,False,True,direct_listing,index_proxy,EURO STOXX 50 index proxy retrieved 2026-06-30; not Europe top-100 by market cap.
CS.PA,Axa,global_equity_europe,Europe,France,Euronext: CS,EUR,equity,Financials,,,,2026-06-30,Wikipedia EURO STOXX 50 constituents,https://en.wikipedia.org/wiki/EURO_STOXX_50,public_web_source,True,False,False,True,direct_listing,index_proxy,EURO STOXX 50 index proxy retrieved 2026-06-30; not Europe top-100 by market cap.
