ticker,name,sleeve,region,country,exchange,currency,asset_type,sector,industry,market_cap_usd,market_cap_rank,as_of_date,source,source_url,data_provider,investable,benchmark_only,signal_only,include,proxy_type,source_method,notes
ADS.DE,Adidas,global_equity_germany,Europe,Germany,DAX proxy,EUR,equity,Apparel,,,,2026-06-30,Wikipedia DAX constituents,https://en.wikipedia.org/wiki/DAX,public_web_source,True,False,False,True,direct_listing,index_proxy,DAX index proxy retrieved 2026-06-30; not Germany top-100 by market cap.
AIR.PA,Airbus,global_equity_germany,Europe,Germany,DAX proxy,EUR,equity,Aerospace & Defence,,,,2026-06-30,Wikipedia DAX constituents,https://en.wikipedia.org/wiki/DAX,public_web_source,True,False,False,True,direct_listing,index_proxy,DAX index proxy retrieved 2026-06-30; not Germany top-100 by market cap.
ALV.DE,Allianz,global_equity_germany,Europe,Germany,DAX proxy,EUR,equity,Financial Services,,,,2026-06-30,Wikipedia DAX constituents,https://en.wikipedia.org/wiki/DAX,public_web_source,True,False,False,True,direct_listing,index_proxy,DAX index proxy retrieved 2026-06-30; not Germany top-100 by market cap.
BAS.DE,BASF,global_equity_germany,Europe,Germany,DAX proxy,EUR,equity,Chemicals,,,,2026-06-30,Wikipedia DAX constituents,https://en.wikipedia.org/wiki/DAX,public_web_source,True,False,False,True,direct_listing,index_proxy,DAX index proxy retrieved 2026-06-30; not Germany top-100 by market cap.
BAYN.DE,Bayer,global_equity_germany,Europe,Germany,DAX proxy,EUR,equity,Pharmaceuticals,,,,2026-06-30,Wikipedia DAX constituents,https://en.wikipedia.org/wiki/DAX,public_web_source,True,False,False,True,direct_listing,index_proxy,DAX index proxy retrieved 2026-06-30; not Germany top-100 by market cap.
BEI.DE,Beiersdorf,global_equity_germany,Europe,Germany,DAX proxy,EUR,equity,Consumer goods,,,,2026-06-30,Wikipedia DAX constituents,https://en.wikipedia.org/wiki/DAX,public_web_source,True,False,False,True,direct_listing,index_proxy,DAX index proxy retrieved 2026-06-30; not Germany top-100 by market cap.
BMW.DE,BMW,global_equity_germany,Europe,Germany,DAX proxy,EUR,equity,Automotive,,,,2026-06-30,Wikipedia DAX constituents,https://en.wikipedia.org/wiki/DAX,public_web_source,True,False,False,True,direct_listing,index_proxy,DAX index proxy retrieved 2026-06-30; not Germany top-100 by market cap.
BNR.DE,Brenntag,global_equity_germany,Europe,Germany,DAX proxy,EUR,equity,Distribution,,,,2026-06-30,Wikipedia DAX constituents,https://en.wikipedia.org/wiki/DAX,public_web_source,True,False,False,True,direct_listing,index_proxy,DAX index proxy retrieved 2026-06-30; not Germany top-100 by market cap.
CBK.DE,Commerzbank,global_equity_germany,Europe,Germany,DAX proxy,EUR,equity,Financial Services,,,,2026-06-30,Wikipedia DAX constituents,https://en.wikipedia.org/wiki/DAX,public_web_source,True,False,False,True,direct_listing,index_proxy,DAX index proxy retrieved 2026-06-30; not Germany top-100 by market cap.
CON.DE,Continental,global_equity_germany,Europe,Germany,DAX proxy,EUR,equity,Automotive,,,,2026-06-30,Wikipedia DAX constituents,https://en.wikipedia.org/wiki/DAX,public_web_source,True,False,False,True,direct_listing,index_proxy,DAX index proxy retrieved 2026-06-30; not Germany top-100 by market cap.
DTG.DE,Daimler Truck,global_equity_germany,Europe,Germany,DAX proxy,EUR,equity,Automotive,,,,2026-06-30,Wikipedia DAX constituents,https://en.wikipedia.org/wiki/DAX,public_web_source,True,False,False,True,direct_listing,index_proxy,DAX index proxy retrieved 2026-06-30; not Germany top-100 by market cap.
DBK.DE,Deutsche Bank,global_equity_germany,Europe,Germany,DAX proxy,EUR,equity,Financial Services,,,,2026-06-30,Wikipedia DAX constituents,https://en.wikipedia.org/wiki/DAX,public_web_source,True,False,False,True,direct_listing,index_proxy,DAX index proxy retrieved 2026-06-30; not Germany top-100 by market cap.
DB1.DE,Deutsche Börse,global_equity_germany,Europe,Germany,DAX proxy,EUR,equity,Financial Services,,,,2026-06-30,Wikipedia DAX constituents,https://en.wikipedia.org/wiki/DAX,public_web_source,True,False,False,True,direct_listing,index_proxy,DAX index proxy retrieved 2026-06-30; not Germany top-100 by market cap.
DHL.DE,Deutsche Post,global_equity_germany,Europe,Germany,DAX proxy,EUR,equity,Logistics,,,,2026-06-30,Wikipedia DAX constituents,https://en.wikipedia.org/wiki/DAX,public_web_source,True,False,False,True,direct_listing,index_proxy,DAX index proxy retrieved 2026-06-30; not Germany top-100 by market cap.
DTE.DE,Deutsche Telekom,global_equity_germany,Europe,Germany,DAX proxy,EUR,equity,Telecommunication,,,,2026-06-30,Wikipedia DAX constituents,https://en.wikipedia.org/wiki/DAX,public_web_source,True,False,False,True,direct_listing,index_proxy,DAX index proxy retrieved 2026-06-30; not Germany top-100 by market cap.
EOAN.DE,E.ON,global_equity_germany,Europe,Germany,DAX proxy,EUR,equity,Utilities,,,,2026-06-30,Wikipedia DAX constituents,https://en.wikipedia.org/wiki/DAX,public_web_source,True,False,False,True,direct_listing,index_proxy,DAX index proxy retrieved 2026-06-30; not Germany top-100 by market cap.
FRE.DE,Fresenius,global_equity_germany,Europe,Germany,DAX proxy,EUR,equity,Healthcare,,,,2026-06-30,Wikipedia DAX constituents,https://en.wikipedia.org/wiki/DAX,public_web_source,True,False,False,True,direct_listing,index_proxy,DAX index proxy retrieved 2026-06-30; not Germany top-100 by market cap.
FME.DE,Fresenius Medical Care,global_equity_germany,Europe,Germany,DAX proxy,EUR,equity,Healthcare,,,,2026-06-30,Wikipedia DAX constituents,https://en.wikipedia.org/wiki/DAX,public_web_source,True,False,False,True,direct_listing,index_proxy,DAX index proxy retrieved 2026-06-30; not Germany top-100 by market cap.
G1A.DE,GEA Group,global_equity_germany,Europe,Germany,DAX proxy,EUR,equity,Mechanical Engineering,,,,2026-06-30,Wikipedia DAX constituents,https://en.wikipedia.org/wiki/DAX,public_web_source,True,False,False,True,direct_listing,index_proxy,DAX index proxy retrieved 2026-06-30; not Germany top-100 by market cap.
HNR1.DE,Hannover Re,global_equity_germany,Europe,Germany,DAX proxy,EUR,equity,Insurance,,,,2026-06-30,Wikipedia DAX constituents,https://en.wikipedia.org/wiki/DAX,public_web_source,True,False,False,True,direct_listing,index_proxy,DAX index proxy retrieved 2026-06-30; not Germany top-100 by market cap.
HEI.DE,Heidelberg Materials,global_equity_germany,Europe,Germany,DAX proxy,EUR,equity,Construction Materials,,,,2026-06-30,Wikipedia DAX constituents,https://en.wikipedia.org/wiki/DAX,public_web_source,True,False,False,True,direct_listing,index_proxy,DAX index proxy retrieved 2026-06-30; not Germany top-100 by market cap.
HEN3.DE,Henkel,global_equity_germany,Europe,Germany,DAX proxy,EUR,equity,Consumer Goods,,,,2026-06-30,Wikipedia DAX constituents,https://en.wikipedia.org/wiki/DAX,public_web_source,True,False,False,True,direct_listing,index_proxy,DAX index proxy retrieved 2026-06-30; not Germany top-100 by market cap.
IFX.DE,Infineon Technologies,global_equity_germany,Europe,Germany,DAX proxy,EUR,equity,Technology,,,,2026-06-30,Wikipedia DAX constituents,https://en.wikipedia.org/wiki/DAX,public_web_source,True,False,False,True,direct_listing,index_proxy,DAX index proxy retrieved 2026-06-30; not Germany top-100 by market cap.
MBG.DE,Mercedes-Benz Group,global_equity_germany,Europe,Germany,DAX proxy,EUR,equity,Automotive,,,,2026-06-30,Wikipedia DAX constituents,https://en.wikipedia.org/wiki/DAX,public_web_source,True,False,False,True,direct_listing,index_proxy,DAX index proxy retrieved 2026-06-30; not Germany top-100 by market cap.
MRK.DE,Merck,global_equity_germany,Europe,Germany,DAX proxy,EUR,equity,Pharmaceuticals,,,,2026-06-30,Wikipedia DAX constituents,https://en.wikipedia.org/wiki/DAX,public_web_source,True,False,False,True,direct_listing,index_proxy,DAX index proxy retrieved 2026-06-30; not Germany top-100 by market cap.
MTX.DE,MTU Aero Engines,global_equity_germany,Europe,Germany,DAX proxy,EUR,equity,Aerospace & Defence,,,,2026-06-30,Wikipedia DAX constituents,https://en.wikipedia.org/wiki/DAX,public_web_source,True,False,False,True,direct_listing,index_proxy,DAX index proxy retrieved 2026-06-30; not Germany top-100 by market cap.
MUV2.DE,Munich Re,global_equity_germany,Europe,Germany,DAX proxy,EUR,equity,Financial Services,,,,2026-06-30,Wikipedia DAX constituents,https://en.wikipedia.org/wiki/DAX,public_web_source,True,False,False,True,direct_listing,index_proxy,DAX index proxy retrieved 2026-06-30; not Germany top-100 by market cap.
PAH3.DE,Porsche SE,global_equity_germany,Europe,Germany,DAX proxy,EUR,equity,Automotive,,,,2026-06-30,Wikipedia DAX constituents,https://en.wikipedia.org/wiki/DAX,public_web_source,True,False,False,True,direct_listing,index_proxy,DAX index proxy retrieved 2026-06-30; not Germany top-100 by market cap.
QIA.DE,Qiagen,global_equity_germany,Europe,Germany,DAX proxy,EUR,equity,Biotech,,,,2026-06-30,Wikipedia DAX constituents,https://en.wikipedia.org/wiki/DAX,public_web_source,True,False,False,True,direct_listing,index_proxy,DAX index proxy retrieved 2026-06-30; not Germany top-100 by market cap.
RHM.DE,Rheinmetall,global_equity_germany,Europe,Germany,DAX proxy,EUR,equity,Aerospace & Defence,,,,2026-06-30,Wikipedia DAX constituents,https://en.wikipedia.org/wiki/DAX,public_web_source,True,False,False,True,direct_listing,index_proxy,DAX index proxy retrieved 2026-06-30; not Germany top-100 by market cap.
RWE.DE,RWE,global_equity_germany,Europe,Germany,DAX proxy,EUR,equity,Utilities,,,,2026-06-30,Wikipedia DAX constituents,https://en.wikipedia.org/wiki/DAX,public_web_source,True,False,False,True,direct_listing,index_proxy,DAX index proxy retrieved 2026-06-30; not Germany top-100 by market cap.
SAP.DE,SAP,global_equity_germany,Europe,Germany,DAX proxy,EUR,equity,Technology,,,,2026-06-30,Wikipedia DAX constituents,https://en.wikipedia.org/wiki/DAX,public_web_source,True,False,False,True,direct_listing,index_proxy,DAX index proxy retrieved 2026-06-30; not Germany top-100 by market cap.
G24.DE,Scout24,global_equity_germany,Europe,Germany,DAX proxy,EUR,equity,E-Commerce,,,,2026-06-30,Wikipedia DAX constituents,https://en.wikipedia.org/wiki/DAX,public_web_source,True,False,False,True,direct_listing,index_proxy,DAX index proxy retrieved 2026-06-30; not Germany top-100 by market cap.
SIE.DE,Siemens,global_equity_germany,Europe,Germany,DAX proxy,EUR,equity,Industrials,,,,2026-06-30,Wikipedia DAX constituents,https://en.wikipedia.org/wiki/DAX,public_web_source,True,False,False,True,direct_listing,index_proxy,DAX index proxy retrieved 2026-06-30; not Germany top-100 by market cap.
ENR.DE,Siemens Energy,global_equity_germany,Europe,Germany,DAX proxy,EUR,equity,Energy technology,,,,2026-06-30,Wikipedia DAX constituents,https://en.wikipedia.org/wiki/DAX,public_web_source,True,False,False,True,direct_listing,index_proxy,DAX index proxy retrieved 2026-06-30; not Germany top-100 by market cap.
SHL.DE,Siemens Healthineers,global_equity_germany,Europe,Germany,DAX proxy,EUR,equity,Medical Equipment,,,,2026-06-30,Wikipedia DAX constituents,https://en.wikipedia.org/wiki/DAX,public_web_source,True,False,False,True,direct_listing,index_proxy,DAX index proxy retrieved 2026-06-30; not Germany top-100 by market cap.
SY1.DE,Symrise,global_equity_germany,Europe,Germany,DAX proxy,EUR,equity,Chemicals,,,,2026-06-30,Wikipedia DAX constituents,https://en.wikipedia.org/wiki/DAX,public_web_source,True,False,False,True,direct_listing,index_proxy,DAX index proxy retrieved 2026-06-30; not Germany top-100 by market cap.
VOW3.DE,Volkswagen Group,global_equity_germany,Europe,Germany,DAX proxy,EUR,equity,Automotive,,,,2026-06-30,Wikipedia DAX constituents,https://en.wikipedia.org/wiki/DAX,public_web_source,True,False,False,True,direct_listing,index_proxy,DAX index proxy retrieved 2026-06-30; not Germany top-100 by market cap.
