ticker,name,exchange,country,currency,source,source_url,as_of_date,data_provider,market_cap_usd,market_cap_rank,sector,industry,notes,source_method,rank_universe,rank_method
285A.T,KIOXIA HOLDINGS CORPORATION,JPX,Japan,JPY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/285A.T,2026-07-02,Yahoo Finance via yfinance,296739524292.97,1,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=JPY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Japan Exchange Group equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
8306.T,MITSUBISHI UFJ FINANCIAL GROUP ,JPX,Japan,JPY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/8306.T,2026-07-02,Yahoo Finance via yfinance,225290445412.76,2,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=JPY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Japan Exchange Group equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
8035.T,TOKYO ELECTRON,JPX,Japan,JPY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/8035.T,2026-07-02,Yahoo Finance via yfinance,220531698254.24,3,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=JPY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Japan Exchange Group equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
9984.T,SOFTBANK GROUP CORP,JPX,Japan,JPY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/9984.T,2026-07-02,Yahoo Finance via yfinance,210385540921.16,4,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=JPY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Japan Exchange Group equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
7203.T,TOYOTA MOTOR CORP,JPX,Japan,JPY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/7203.T,2026-07-02,Yahoo Finance via yfinance,198494711782.08,5,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=JPY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Japan Exchange Group equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
9983.T,FAST RETAILING CO LTD,JPX,Japan,JPY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/9983.T,2026-07-02,Yahoo Finance via yfinance,156149797617.58,6,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=JPY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Japan Exchange Group equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
8316.T,SUMITOMO MITSUI FINANCIAL GROUP,JPX,Japan,JPY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/8316.T,2026-07-02,Yahoo Finance via yfinance,150882310968.22,7,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=JPY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Japan Exchange Group equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
6857.T,ADVANTEST CORP,JPX,Japan,JPY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/6857.T,2026-07-02,Yahoo Finance via yfinance,142707949810.67,8,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=JPY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Japan Exchange Group equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
6981.T,MURATA MANUFACTURING CO,JPX,Japan,JPY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/6981.T,2026-07-02,Yahoo Finance via yfinance,133166326271.31,9,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=JPY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Japan Exchange Group equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
6501.T,HITACHI,JPX,Japan,JPY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/6501.T,2026-07-02,Yahoo Finance via yfinance,124394476536.82,10,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=JPY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Japan Exchange Group equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
6861.T,KEYENCE CORP,JPX,Japan,JPY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/6861.T,2026-07-02,Yahoo Finance via yfinance,121808714235.22,11,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=JPY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Japan Exchange Group equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
