ticker,name,sleeve,region,country,exchange,currency,asset_type,sector,industry,market_cap_usd,market_cap_rank,as_of_date,source,source_url,data_provider,investable,benchmark_only,signal_only,include,proxy_type,source_method,notes
AAPL,Apple Inc.,global_equity_nyse,North America,United States,NYSE/NASDAQ mixed large-cap proxy,USD,equity,Information Technology,,,,2026-06-30,Wikipedia S&P 100 constituents,https://en.wikipedia.org/wiki/S%26P_100,public_web_source,True,False,False,True,direct_listing,index_proxy,S&P 100 large-cap proxy retrieved 2026-06-30; not a pure NYSE top-100 market-cap ranking.
ABBV,AbbVie,global_equity_nyse,North America,United States,NYSE/NASDAQ mixed large-cap proxy,USD,equity,Health Care,,,,2026-06-30,Wikipedia S&P 100 constituents,https://en.wikipedia.org/wiki/S%26P_100,public_web_source,True,False,False,True,direct_listing,index_proxy,S&P 100 large-cap proxy retrieved 2026-06-30; not a pure NYSE top-100 market-cap ranking.
ABT,Abbott Laboratories,global_equity_nyse,North America,United States,NYSE/NASDAQ mixed large-cap proxy,USD,equity,Health Care,,,,2026-06-30,Wikipedia S&P 100 constituents,https://en.wikipedia.org/wiki/S%26P_100,public_web_source,True,False,False,True,direct_listing,index_proxy,S&P 100 large-cap proxy retrieved 2026-06-30; not a pure NYSE top-100 market-cap ranking.
ACN,Accenture,global_equity_nyse,North America,United States,NYSE/NASDAQ mixed large-cap proxy,USD,equity,Information Technology,,,,2026-06-30,Wikipedia S&P 100 constituents,https://en.wikipedia.org/wiki/S%26P_100,public_web_source,True,False,False,True,direct_listing,index_proxy,S&P 100 large-cap proxy retrieved 2026-06-30; not a pure NYSE top-100 market-cap ranking.
ADBE,Adobe Inc.,global_equity_nyse,North America,United States,NYSE/NASDAQ mixed large-cap proxy,USD,equity,Information Technology,,,,2026-06-30,Wikipedia S&P 100 constituents,https://en.wikipedia.org/wiki/S%26P_100,public_web_source,True,False,False,True,direct_listing,index_proxy,S&P 100 large-cap proxy retrieved 2026-06-30; not a pure NYSE top-100 market-cap ranking.
AMAT,Applied Materials,global_equity_nyse,North America,United States,NYSE/NASDAQ mixed large-cap proxy,USD,equity,Information Technology,,,,2026-06-30,Wikipedia S&P 100 constituents,https://en.wikipedia.org/wiki/S%26P_100,public_web_source,True,False,False,True,direct_listing,index_proxy,S&P 100 large-cap proxy retrieved 2026-06-30; not a pure NYSE top-100 market-cap ranking.
AMD,Advanced Micro Devices,global_equity_nyse,North America,United States,NYSE/NASDAQ mixed large-cap proxy,USD,equity,Information Technology,,,,2026-06-30,Wikipedia S&P 100 constituents,https://en.wikipedia.org/wiki/S%26P_100,public_web_source,True,False,False,True,direct_listing,index_proxy,S&P 100 large-cap proxy retrieved 2026-06-30; not a pure NYSE top-100 market-cap ranking.
AMGN,Amgen,global_equity_nyse,North America,United States,NYSE/NASDAQ mixed large-cap proxy,USD,equity,Health Care,,,,2026-06-30,Wikipedia S&P 100 constituents,https://en.wikipedia.org/wiki/S%26P_100,public_web_source,True,False,False,True,direct_listing,index_proxy,S&P 100 large-cap proxy retrieved 2026-06-30; not a pure NYSE top-100 market-cap ranking.
AMT,American Tower,global_equity_nyse,North America,United States,NYSE/NASDAQ mixed large-cap proxy,USD,equity,Real Estate,,,,2026-06-30,Wikipedia S&P 100 constituents,https://en.wikipedia.org/wiki/S%26P_100,public_web_source,True,False,False,True,direct_listing,index_proxy,S&P 100 large-cap proxy retrieved 2026-06-30; not a pure NYSE top-100 market-cap ranking.
AMZN,Amazon,global_equity_nyse,North America,United States,NYSE/NASDAQ mixed large-cap proxy,USD,equity,Consumer Discretionary,,,,2026-06-30,Wikipedia S&P 100 constituents,https://en.wikipedia.org/wiki/S%26P_100,public_web_source,True,False,False,True,direct_listing,index_proxy,S&P 100 large-cap proxy retrieved 2026-06-30; not a pure NYSE top-100 market-cap ranking.
AVGO,Broadcom,global_equity_nyse,North America,United States,NYSE/NASDAQ mixed large-cap proxy,USD,equity,Information Technology,,,,2026-06-30,Wikipedia S&P 100 constituents,https://en.wikipedia.org/wiki/S%26P_100,public_web_source,True,False,False,True,direct_listing,index_proxy,S&P 100 large-cap proxy retrieved 2026-06-30; not a pure NYSE top-100 market-cap ranking.
AXP,American Express,global_equity_nyse,North America,United States,NYSE/NASDAQ mixed large-cap proxy,USD,equity,Financials,,,,2026-06-30,Wikipedia S&P 100 constituents,https://en.wikipedia.org/wiki/S%26P_100,public_web_source,True,False,False,True,direct_listing,index_proxy,S&P 100 large-cap proxy retrieved 2026-06-30; not a pure NYSE top-100 market-cap ranking.
BA,Boeing,global_equity_nyse,North America,United States,NYSE/NASDAQ mixed large-cap proxy,USD,equity,Industrials,,,,2026-06-30,Wikipedia S&P 100 constituents,https://en.wikipedia.org/wiki/S%26P_100,public_web_source,True,False,False,True,direct_listing,index_proxy,S&P 100 large-cap proxy retrieved 2026-06-30; not a pure NYSE top-100 market-cap ranking.
BAC,Bank of America,global_equity_nyse,North America,United States,NYSE/NASDAQ mixed large-cap proxy,USD,equity,Financials,,,,2026-06-30,Wikipedia S&P 100 constituents,https://en.wikipedia.org/wiki/S%26P_100,public_web_source,True,False,False,True,direct_listing,index_proxy,S&P 100 large-cap proxy retrieved 2026-06-30; not a pure NYSE top-100 market-cap ranking.
BKNG,Booking Holdings,global_equity_nyse,North America,United States,NYSE/NASDAQ mixed large-cap proxy,USD,equity,Consumer Discretionary,,,,2026-06-30,Wikipedia S&P 100 constituents,https://en.wikipedia.org/wiki/S%26P_100,public_web_source,True,False,False,True,direct_listing,index_proxy,S&P 100 large-cap proxy retrieved 2026-06-30; not a pure NYSE top-100 market-cap ranking.
BLK,BlackRock,global_equity_nyse,North America,United States,NYSE/NASDAQ mixed large-cap proxy,USD,equity,Financials,,,,2026-06-30,Wikipedia S&P 100 constituents,https://en.wikipedia.org/wiki/S%26P_100,public_web_source,True,False,False,True,direct_listing,index_proxy,S&P 100 large-cap proxy retrieved 2026-06-30; not a pure NYSE top-100 market-cap ranking.
BMY,Bristol Myers Squibb,global_equity_nyse,North America,United States,NYSE/NASDAQ mixed large-cap proxy,USD,equity,Health Care,,,,2026-06-30,Wikipedia S&P 100 constituents,https://en.wikipedia.org/wiki/S%26P_100,public_web_source,True,False,False,True,direct_listing,index_proxy,S&P 100 large-cap proxy retrieved 2026-06-30; not a pure NYSE top-100 market-cap ranking.
BNY,BNY Mellon,global_equity_nyse,North America,United States,NYSE/NASDAQ mixed large-cap proxy,USD,equity,Financials,,,,2026-06-30,Wikipedia S&P 100 constituents,https://en.wikipedia.org/wiki/S%26P_100,public_web_source,True,False,False,True,direct_listing,index_proxy,S&P 100 large-cap proxy retrieved 2026-06-30; not a pure NYSE top-100 market-cap ranking.
BRK-B,Berkshire Hathaway (Class B),global_equity_nyse,North America,United States,NYSE/NASDAQ mixed large-cap proxy,USD,equity,Financials,,,,2026-06-30,Wikipedia S&P 100 constituents,https://en.wikipedia.org/wiki/S%26P_100,public_web_source,True,False,False,True,direct_listing,index_proxy,S&P 100 large-cap proxy retrieved 2026-06-30; not a pure NYSE top-100 market-cap ranking.
C,Citigroup,global_equity_nyse,North America,United States,NYSE/NASDAQ mixed large-cap proxy,USD,equity,Financials,,,,2026-06-30,Wikipedia S&P 100 constituents,https://en.wikipedia.org/wiki/S%26P_100,public_web_source,True,False,False,True,direct_listing,index_proxy,S&P 100 large-cap proxy retrieved 2026-06-30; not a pure NYSE top-100 market-cap ranking.
CAT,Caterpillar Inc.,global_equity_nyse,North America,United States,NYSE/NASDAQ mixed large-cap proxy,USD,equity,Industrials,,,,2026-06-30,Wikipedia S&P 100 constituents,https://en.wikipedia.org/wiki/S%26P_100,public_web_source,True,False,False,True,direct_listing,index_proxy,S&P 100 large-cap proxy retrieved 2026-06-30; not a pure NYSE top-100 market-cap ranking.
CL,Colgate-Palmolive,global_equity_nyse,North America,United States,NYSE/NASDAQ mixed large-cap proxy,USD,equity,Consumer Staples,,,,2026-06-30,Wikipedia S&P 100 constituents,https://en.wikipedia.org/wiki/S%26P_100,public_web_source,True,False,False,True,direct_listing,index_proxy,S&P 100 large-cap proxy retrieved 2026-06-30; not a pure NYSE top-100 market-cap ranking.
CMCSA,Comcast,global_equity_nyse,North America,United States,NYSE/NASDAQ mixed large-cap proxy,USD,equity,Communication Services,,,,2026-06-30,Wikipedia S&P 100 constituents,https://en.wikipedia.org/wiki/S%26P_100,public_web_source,True,False,False,True,direct_listing,index_proxy,S&P 100 large-cap proxy retrieved 2026-06-30; not a pure NYSE top-100 market-cap ranking.
COF,Capital One,global_equity_nyse,North America,United States,NYSE/NASDAQ mixed large-cap proxy,USD,equity,Financials,,,,2026-06-30,Wikipedia S&P 100 constituents,https://en.wikipedia.org/wiki/S%26P_100,public_web_source,True,False,False,True,direct_listing,index_proxy,S&P 100 large-cap proxy retrieved 2026-06-30; not a pure NYSE top-100 market-cap ranking.
COP,ConocoPhillips,global_equity_nyse,North America,United States,NYSE/NASDAQ mixed large-cap proxy,USD,equity,Energy,,,,2026-06-30,Wikipedia S&P 100 constituents,https://en.wikipedia.org/wiki/S%26P_100,public_web_source,True,False,False,True,direct_listing,index_proxy,S&P 100 large-cap proxy retrieved 2026-06-30; not a pure NYSE top-100 market-cap ranking.
COST,Costco,global_equity_nyse,North America,United States,NYSE/NASDAQ mixed large-cap proxy,USD,equity,Consumer Staples,,,,2026-06-30,Wikipedia S&P 100 constituents,https://en.wikipedia.org/wiki/S%26P_100,public_web_source,True,False,False,True,direct_listing,index_proxy,S&P 100 large-cap proxy retrieved 2026-06-30; not a pure NYSE top-100 market-cap ranking.
CRM,Salesforce,global_equity_nyse,North America,United States,NYSE/NASDAQ mixed large-cap proxy,USD,equity,Information Technology,,,,2026-06-30,Wikipedia S&P 100 constituents,https://en.wikipedia.org/wiki/S%26P_100,public_web_source,True,False,False,True,direct_listing,index_proxy,S&P 100 large-cap proxy retrieved 2026-06-30; not a pure NYSE top-100 market-cap ranking.
CSCO,Cisco,global_equity_nyse,North America,United States,NYSE/NASDAQ mixed large-cap proxy,USD,equity,Information Technology,,,,2026-06-30,Wikipedia S&P 100 constituents,https://en.wikipedia.org/wiki/S%26P_100,public_web_source,True,False,False,True,direct_listing,index_proxy,S&P 100 large-cap proxy retrieved 2026-06-30; not a pure NYSE top-100 market-cap ranking.
CVS,CVS Health,global_equity_nyse,North America,United States,NYSE/NASDAQ mixed large-cap proxy,USD,equity,Health Care,,,,2026-06-30,Wikipedia S&P 100 constituents,https://en.wikipedia.org/wiki/S%26P_100,public_web_source,True,False,False,True,direct_listing,index_proxy,S&P 100 large-cap proxy retrieved 2026-06-30; not a pure NYSE top-100 market-cap ranking.
CVX,Chevron Corporation,global_equity_nyse,North America,United States,NYSE/NASDAQ mixed large-cap proxy,USD,equity,Energy,,,,2026-06-30,Wikipedia S&P 100 constituents,https://en.wikipedia.org/wiki/S%26P_100,public_web_source,True,False,False,True,direct_listing,index_proxy,S&P 100 large-cap proxy retrieved 2026-06-30; not a pure NYSE top-100 market-cap ranking.
DE,Deere & Company,global_equity_nyse,North America,United States,NYSE/NASDAQ mixed large-cap proxy,USD,equity,Industrials,,,,2026-06-30,Wikipedia S&P 100 constituents,https://en.wikipedia.org/wiki/S%26P_100,public_web_source,True,False,False,True,direct_listing,index_proxy,S&P 100 large-cap proxy retrieved 2026-06-30; not a pure NYSE top-100 market-cap ranking.
DHR,Danaher Corporation,global_equity_nyse,North America,United States,NYSE/NASDAQ mixed large-cap proxy,USD,equity,Health Care,,,,2026-06-30,Wikipedia S&P 100 constituents,https://en.wikipedia.org/wiki/S%26P_100,public_web_source,True,False,False,True,direct_listing,index_proxy,S&P 100 large-cap proxy retrieved 2026-06-30; not a pure NYSE top-100 market-cap ranking.
DIS,Walt Disney Company (The),global_equity_nyse,North America,United States,NYSE/NASDAQ mixed large-cap proxy,USD,equity,Communication Services,,,,2026-06-30,Wikipedia S&P 100 constituents,https://en.wikipedia.org/wiki/S%26P_100,public_web_source,True,False,False,True,direct_listing,index_proxy,S&P 100 large-cap proxy retrieved 2026-06-30; not a pure NYSE top-100 market-cap ranking.
DUK,Duke Energy,global_equity_nyse,North America,United States,NYSE/NASDAQ mixed large-cap proxy,USD,equity,Utilities,,,,2026-06-30,Wikipedia S&P 100 constituents,https://en.wikipedia.org/wiki/S%26P_100,public_web_source,True,False,False,True,direct_listing,index_proxy,S&P 100 large-cap proxy retrieved 2026-06-30; not a pure NYSE top-100 market-cap ranking.
EMR,Emerson Electric,global_equity_nyse,North America,United States,NYSE/NASDAQ mixed large-cap proxy,USD,equity,Industrials,,,,2026-06-30,Wikipedia S&P 100 constituents,https://en.wikipedia.org/wiki/S%26P_100,public_web_source,True,False,False,True,direct_listing,index_proxy,S&P 100 large-cap proxy retrieved 2026-06-30; not a pure NYSE top-100 market-cap ranking.
