ticker,name,exchange,country,currency,source,source_url,as_of_date,data_provider,market_cap_usd,market_cap_rank,sector,industry,notes,source_method,rank_universe,rank_method
ISBTR.IS,IS BANKASI (B),IST,Turkey,TRY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/ISBTR.IS,2026-07-02,Yahoo Finance via yfinance,313755663741748.75,1,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=TRY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Borsa Istanbul equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
ASELS.IS,ASELSAN,IST,Turkey,TRY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/ASELS.IS,2026-07-02,Yahoo Finance via yfinance,36278734776.28,2,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=TRY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Borsa Istanbul equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
DSTKF.IS,DESTEK FINANS FAKTORING,IST,Turkey,TRY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/DSTKF.IS,2026-07-02,Yahoo Finance via yfinance,26787416679.7,3,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=TRY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Borsa Istanbul equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
QNBTR.IS,QNB BANK,IST,Turkey,TRY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/QNBTR.IS,2026-07-02,Yahoo Finance via yfinance,25930221525.63,4,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=TRY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Borsa Istanbul equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
ENPRA.IS,ENPARA BANK,IST,Turkey,TRY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/ENPRA.IS,2026-07-02,Yahoo Finance via yfinance,17818519248.99,5,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=TRY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Borsa Istanbul equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
GARAN.IS,GARANTI BANKASI,IST,Turkey,TRY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/GARAN.IS,2026-07-02,Yahoo Finance via yfinance,12465793005.58,6,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=TRY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Borsa Istanbul equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
ENKAI.IS,ENKA INSAAT,IST,Turkey,TRY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/ENKAI.IS,2026-07-02,Yahoo Finance via yfinance,11753454493.07,7,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=TRY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Borsa Istanbul equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
KCHOL.IS,KOC HOLDING,IST,Turkey,TRY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/KCHOL.IS,2026-07-02,Yahoo Finance via yfinance,10593383015.68,8,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=TRY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Borsa Istanbul equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
HEDEF.IS,HEDEF HOLDING,IST,Turkey,TRY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/HEDEF.IS,2026-07-02,Yahoo Finance via yfinance,9964919296.97,9,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=TRY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Borsa Istanbul equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
TUPRS.IS,TUPRAS,IST,Turkey,TRY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/TUPRS.IS,2026-07-02,Yahoo Finance via yfinance,9757087918.44,10,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=TRY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Borsa Istanbul equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
THYAO.IS,TURK HAVA YOLLARI,IST,Turkey,TRY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/THYAO.IS,2026-07-02,Yahoo Finance via yfinance,9660509333.76,11,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=TRY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Borsa Istanbul equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
BIMAS.IS,BIM MAGAZALAR,IST,Turkey,TRY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/BIMAS.IS,2026-07-02,Yahoo Finance via yfinance,9262377400.83,12,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=TRY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Borsa Istanbul equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
AKBNK.IS,AKBANK,IST,Turkey,TRY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/AKBNK.IS,2026-07-02,Yahoo Finance via yfinance,8675265781.92,13,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=TRY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Borsa Istanbul equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
ISCTR.IS,IS BANKASI (C),IST,Turkey,TRY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/ISCTR.IS,2026-07-02,Yahoo Finance via yfinance,7998722733.47,14,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=TRY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Borsa Istanbul equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
KTLEV.IS,KATILIMEVIM TAS. FIN.,IST,Turkey,TRY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/KTLEV.IS,2026-07-02,Yahoo Finance via yfinance,7807353406.22,15,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=TRY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Borsa Istanbul equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
YKBNK.IS,YAPI VE KREDI BANK.,IST,Turkey,TRY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/YKBNK.IS,2026-07-02,Yahoo Finance via yfinance,7349401090.9,16,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=TRY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Borsa Istanbul equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
VAKBN.IS,VAKIFLAR BANKASI,IST,Turkey,TRY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/VAKBN.IS,2026-07-02,Yahoo Finance via yfinance,7071917602.81,17,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=TRY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Borsa Istanbul equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
HALKB.IS,T. HALK BANKASI,IST,Turkey,TRY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/HALKB.IS,2026-07-02,Yahoo Finance via yfinance,6805444160.45,18,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=TRY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Borsa Istanbul equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
FROTO.IS,FORD OTOSAN,IST,Turkey,TRY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/FROTO.IS,2026-07-02,Yahoo Finance via yfinance,6407020807.85,19,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=TRY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Borsa Istanbul equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
ASTOR.IS,ASTOR ENERJI,IST,Turkey,TRY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/ASTOR.IS,2026-07-02,Yahoo Finance via yfinance,5924219172.53,20,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=TRY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Borsa Istanbul equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
EREGL.IS,EREGLI DEMIR CELIK,IST,Turkey,TRY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/EREGL.IS,2026-07-02,Yahoo Finance via yfinance,5825355927.87,21,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=TRY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Borsa Istanbul equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
TCELL.IS,TURKCELL,IST,Turkey,TRY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/TCELL.IS,2026-07-02,Yahoo Finance via yfinance,5069878877.88,22,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=TRY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Borsa Istanbul equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
CCOLA.IS,COCA COLA ICECEK,IST,Turkey,TRY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/CCOLA.IS,2026-07-02,Yahoo Finance via yfinance,4913938457.9,23,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=TRY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Borsa Istanbul equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
ODINE.IS,ODINE TEKNOLOJI,IST,Turkey,TRY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/ODINE.IS,2026-07-02,Yahoo Finance via yfinance,4634191025.21,24,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=TRY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Borsa Istanbul equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
TTKOM.IS,TURK TELEKOM,IST,Turkey,TRY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/TTKOM.IS,2026-07-02,Yahoo Finance via yfinance,4549039251.5,25,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=TRY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Borsa Istanbul equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
SAHOL.IS,SABANCI HOLDING,IST,Turkey,TRY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/SAHOL.IS,2026-07-02,Yahoo Finance via yfinance,4347160909.68,26,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=TRY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Borsa Istanbul equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
KRDMB.IS,KARDEMIR (B),IST,Turkey,TRY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/KRDMB.IS,2026-07-02,Yahoo Finance via yfinance,3579273244.01,27,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=TRY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Borsa Istanbul equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
ISDMR.IS,ISKENDERUN DEMIR CELIK,IST,Turkey,TRY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/ISDMR.IS,2026-07-02,Yahoo Finance via yfinance,3498865290.94,28,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=TRY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Borsa Istanbul equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
TRALT.IS,TURK ALTIN ISLETMELERI,IST,Turkey,TRY,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/TRALT.IS,2026-07-02,Yahoo Finance via yfinance,3287346575.84,29,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=TRY; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance Borsa Istanbul equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
