ticker,name,exchange,country,currency,source,source_url,as_of_date,data_provider,market_cap_usd,market_cap_rank,sector,industry,notes,source_method,rank_universe,rank_method
0RIH.L,ALPHABET INC ALPHABET ORD  CLAS,LSE,United Kingdom,USD,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/0RIH.L,2026-07-02,Yahoo Finance via yfinance,4450043822080.0,1,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=USD; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance London Stock Exchange equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
0R2V.L,APPLE INC APPLE ORD,LSE,United Kingdom,USD,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/0R2V.L,2026-07-02,Yahoo Finance via yfinance,4411269054464.0,2,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=USD; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance London Stock Exchange equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
0HD6.L,ALPHABET INC ALPHABET ORD  CLAS,LSE,United Kingdom,USD,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/0HD6.L,2026-07-02,Yahoo Finance via yfinance,4390108266496.0,3,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=USD; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance London Stock Exchange equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
0QYP.L,MICROSOFT CORP MICROSOFT ORD,LSE,United Kingdom,USD,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/0QYP.L,2026-07-02,Yahoo Finance via yfinance,2885898207232.0,4,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=USD; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance London Stock Exchange equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
0R0X.L,TESLA INC TESLA ORD,LSE,United Kingdom,USD,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/0R0X.L,2026-07-02,Yahoo Finance via yfinance,1571063070720.0,5,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=USD; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance London Stock Exchange equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
0QZI.L,META PLATFORMS INC META PLATFOR,LSE,United Kingdom,USD,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/0QZI.L,2026-07-02,Yahoo Finance via yfinance,1562053312512.0,6,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=USD; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance London Stock Exchange equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
BC94.L,SAMSUNG ELECTRONICS CO LTD (ATT,LSE,United Kingdom,USD,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/BC94.L,2026-07-02,Yahoo Finance via yfinance,1333012332544.0,7,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=USD; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance London Stock Exchange equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
0HN0.L,BERKSHIRE HATHAWAY INC BERKSHIR,LSE,United Kingdom,USD,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/0HN0.L,2026-07-02,Yahoo Finance via yfinance,1093779324928.0,8,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=USD; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance London Stock Exchange equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
0R37.L,BERKSHIRE HATHAWAY INC BERKSHIR,LSE,United Kingdom,USD,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/0R37.L,2026-07-02,Yahoo Finance via yfinance,1073097474048.0,9,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=USD; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance London Stock Exchange equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
0Q1F.L,JPMORGAN CHASE & CO JPMORGAN CH,LSE,United Kingdom,USD,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/0Q1F.L,2026-07-02,Yahoo Finance via yfinance,940042485760.0,10,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=USD; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance London Stock Exchange equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
0R1W.L,WAL-MART STORES INC WALMART STO,LSE,United Kingdom,USD,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/0R1W.L,2026-07-02,Yahoo Finance via yfinance,867489742848.0,11,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=USD; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance London Stock Exchange equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
0M42.L,ASML HOLDING NV ASML HOLDING AD,LSE,United Kingdom,USD,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/0M42.L,2026-07-02,Yahoo Finance via yfinance,724747157504.0,12,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=USD; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance London Stock Exchange equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
0QZ0.L,VISA INC VISA ORD  CLASS A,LSE,United Kingdom,USD,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/0QZ0.L,2026-07-02,Yahoo Finance via yfinance,666226196480.0,13,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=USD; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance London Stock Exchange equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
0R34.L,JOHNSON & JOHNSON JOHNSON & JOH,LSE,United Kingdom,USD,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/0R34.L,2026-07-02,Yahoo Finance via yfinance,610231386112.0,14,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=USD; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance London Stock Exchange equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
0R1M.L,EXXON MOBIL CORP EXXON MOBIL OR,LSE,United Kingdom,USD,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/0R1M.L,2026-07-02,Yahoo Finance via yfinance,597806284800.0,15,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=USD; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance London Stock Exchange equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
0R24.L,INTEL CORP INTEL CORPORATION OR,LSE,United Kingdom,USD,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/0R24.L,2026-07-02,Yahoo Finance via yfinance,561086070784.0,16,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=USD; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance London Stock Exchange equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
0R0K.L,CISCO SYSTEMS INC CISCO SYSTEMS,LSE,United Kingdom,USD,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/0R0K.L,2026-07-02,Yahoo Finance via yfinance,461133512704.0,17,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=USD; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance London Stock Exchange equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
0Q16.L,BANK OF AMERICA CORP BANK OF AM,LSE,United Kingdom,USD,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/0Q16.L,2026-07-02,Yahoo Finance via yfinance,440982536192.0,18,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=USD; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance London Stock Exchange equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
0R1Z.L,ORACLE CORP ORACLE ORD,LSE,United Kingdom,USD,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/0R1Z.L,2026-07-02,Yahoo Finance via yfinance,406711140352.0,19,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=USD; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance London Stock Exchange equities sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
