ticker,name,sleeve,region,country,exchange,currency,asset_type,sector,industry,market_cap_usd,market_cap_rank,as_of_date,source,source_url,data_provider,investable,benchmark_only,signal_only,include,proxy_type,source_method,notes
III.L,3i,global_equity_uk,Europe,United Kingdom,London Stock Exchange,GBP,equity,Financial services,,,,2026-06-30,Wikipedia FTSE 100 constituents,https://en.wikipedia.org/wiki/FTSE_100_Index,public_web_source,True,False,False,True,direct_listing,index_proxy,FTSE 100 index proxy retrieved 2026-06-30; Yahoo suffix .L applied for price lookup.
ABDN.L,Aberdeen Group,global_equity_uk,Europe,United Kingdom,London Stock Exchange,GBP,equity,Financial Services,,,,2026-06-30,Wikipedia FTSE 100 constituents,https://en.wikipedia.org/wiki/FTSE_100_Index,public_web_source,True,False,False,True,direct_listing,index_proxy,FTSE 100 index proxy retrieved 2026-06-30; Yahoo suffix .L applied for price lookup.
ADM.L,Admiral Group,global_equity_uk,Europe,United Kingdom,London Stock Exchange,GBP,equity,Insurance,,,,2026-06-30,Wikipedia FTSE 100 constituents,https://en.wikipedia.org/wiki/FTSE_100_Index,public_web_source,True,False,False,True,direct_listing,index_proxy,FTSE 100 index proxy retrieved 2026-06-30; Yahoo suffix .L applied for price lookup.
AAF.L,Airtel Africa,global_equity_uk,Europe,United Kingdom,London Stock Exchange,GBP,equity,Telecommunications services,,,,2026-06-30,Wikipedia FTSE 100 constituents,https://en.wikipedia.org/wiki/FTSE_100_Index,public_web_source,True,False,False,True,direct_listing,index_proxy,FTSE 100 index proxy retrieved 2026-06-30; Yahoo suffix .L applied for price lookup.
ALW.L,Alliance Witan,global_equity_uk,Europe,United Kingdom,London Stock Exchange,GBP,equity,Investment Trusts,,,,2026-06-30,Wikipedia FTSE 100 constituents,https://en.wikipedia.org/wiki/FTSE_100_Index,public_web_source,True,False,False,True,direct_listing,index_proxy,FTSE 100 index proxy retrieved 2026-06-30; Yahoo suffix .L applied for price lookup.
AAL.L,Anglo American plc,global_equity_uk,Europe,United Kingdom,London Stock Exchange,GBP,equity,Mining,,,,2026-06-30,Wikipedia FTSE 100 constituents,https://en.wikipedia.org/wiki/FTSE_100_Index,public_web_source,True,False,False,True,direct_listing,index_proxy,FTSE 100 index proxy retrieved 2026-06-30; Yahoo suffix .L applied for price lookup.
ANTO.L,Antofagasta plc,global_equity_uk,Europe,United Kingdom,London Stock Exchange,GBP,equity,Mining,,,,2026-06-30,Wikipedia FTSE 100 constituents,https://en.wikipedia.org/wiki/FTSE_100_Index,public_web_source,True,False,False,True,direct_listing,index_proxy,FTSE 100 index proxy retrieved 2026-06-30; Yahoo suffix .L applied for price lookup.
ABF.L,Associated British Foods,global_equity_uk,Europe,United Kingdom,London Stock Exchange,GBP,equity,Food & tobacco,,,,2026-06-30,Wikipedia FTSE 100 constituents,https://en.wikipedia.org/wiki/FTSE_100_Index,public_web_source,True,False,False,True,direct_listing,index_proxy,FTSE 100 index proxy retrieved 2026-06-30; Yahoo suffix .L applied for price lookup.
AZN.L,AstraZeneca,global_equity_uk,Europe,United Kingdom,London Stock Exchange,GBP,equity,Pharmaceuticals & biotechnology,,,,2026-06-30,Wikipedia FTSE 100 constituents,https://en.wikipedia.org/wiki/FTSE_100_Index,public_web_source,True,False,False,True,direct_listing,index_proxy,FTSE 100 index proxy retrieved 2026-06-30; Yahoo suffix .L applied for price lookup.
AUTO.L,Autotrader Group,global_equity_uk,Europe,United Kingdom,London Stock Exchange,GBP,equity,Media,,,,2026-06-30,Wikipedia FTSE 100 constituents,https://en.wikipedia.org/wiki/FTSE_100_Index,public_web_source,True,False,False,True,direct_listing,index_proxy,FTSE 100 index proxy retrieved 2026-06-30; Yahoo suffix .L applied for price lookup.
AV.L,Aviva,global_equity_uk,Europe,United Kingdom,London Stock Exchange,GBP,equity,Life insurance,,,,2026-06-30,Wikipedia FTSE 100 constituents,https://en.wikipedia.org/wiki/FTSE_100_Index,public_web_source,True,False,False,True,direct_listing,index_proxy,FTSE 100 index proxy retrieved 2026-06-30; Yahoo suffix .L applied for price lookup.
BAB.L,Babcock International,global_equity_uk,Europe,United Kingdom,London Stock Exchange,GBP,equity,Aerospace & defence,,,,2026-06-30,Wikipedia FTSE 100 constituents,https://en.wikipedia.org/wiki/FTSE_100_Index,public_web_source,True,False,False,True,direct_listing,index_proxy,FTSE 100 index proxy retrieved 2026-06-30; Yahoo suffix .L applied for price lookup.
BA.L,BAE Systems,global_equity_uk,Europe,United Kingdom,London Stock Exchange,GBP,equity,Aerospace & defence,,,,2026-06-30,Wikipedia FTSE 100 constituents,https://en.wikipedia.org/wiki/FTSE_100_Index,public_web_source,True,False,False,True,direct_listing,index_proxy,FTSE 100 index proxy retrieved 2026-06-30; Yahoo suffix .L applied for price lookup.
BARC.L,Barclays,global_equity_uk,Europe,United Kingdom,London Stock Exchange,GBP,equity,Banks,,,,2026-06-30,Wikipedia FTSE 100 constituents,https://en.wikipedia.org/wiki/FTSE_100_Index,public_web_source,True,False,False,True,direct_listing,index_proxy,FTSE 100 index proxy retrieved 2026-06-30; Yahoo suffix .L applied for price lookup.
BTRW.L,Barratt Redrow,global_equity_uk,Europe,United Kingdom,London Stock Exchange,GBP,equity,Household goods & home construction,,,,2026-06-30,Wikipedia FTSE 100 constituents,https://en.wikipedia.org/wiki/FTSE_100_Index,public_web_source,True,False,False,True,direct_listing,index_proxy,FTSE 100 index proxy retrieved 2026-06-30; Yahoo suffix .L applied for price lookup.
BEZ.L,Beazley,global_equity_uk,Europe,United Kingdom,London Stock Exchange,GBP,equity,Insurance,,,,2026-06-30,Wikipedia FTSE 100 constituents,https://en.wikipedia.org/wiki/FTSE_100_Index,public_web_source,True,False,False,True,direct_listing,index_proxy,FTSE 100 index proxy retrieved 2026-06-30; Yahoo suffix .L applied for price lookup.
BP.L,BP,global_equity_uk,Europe,United Kingdom,London Stock Exchange,GBP,equity,Oil & gas producers,,,,2026-06-30,Wikipedia FTSE 100 constituents,https://en.wikipedia.org/wiki/FTSE_100_Index,public_web_source,True,False,False,True,direct_listing,index_proxy,FTSE 100 index proxy retrieved 2026-06-30; Yahoo suffix .L applied for price lookup.
BATS.L,British American Tobacco,global_equity_uk,Europe,United Kingdom,London Stock Exchange,GBP,equity,Tobacco,,,,2026-06-30,Wikipedia FTSE 100 constituents,https://en.wikipedia.org/wiki/FTSE_100_Index,public_web_source,True,False,False,True,direct_listing,index_proxy,FTSE 100 index proxy retrieved 2026-06-30; Yahoo suffix .L applied for price lookup.
BLND.L,British Land,global_equity_uk,Europe,United Kingdom,London Stock Exchange,GBP,equity,Real estate,,,,2026-06-30,Wikipedia FTSE 100 constituents,https://en.wikipedia.org/wiki/FTSE_100_Index,public_web_source,True,False,False,True,direct_listing,index_proxy,FTSE 100 index proxy retrieved 2026-06-30; Yahoo suffix .L applied for price lookup.
BT.A.L,BT Group,global_equity_uk,Europe,United Kingdom,London Stock Exchange,GBP,equity,Telecommunications services,,,,2026-06-30,Wikipedia FTSE 100 constituents,https://en.wikipedia.org/wiki/FTSE_100_Index,public_web_source,True,False,False,True,direct_listing,index_proxy,FTSE 100 index proxy retrieved 2026-06-30; Yahoo suffix .L applied for price lookup.
BNZL.L,Bunzl,global_equity_uk,Europe,United Kingdom,London Stock Exchange,GBP,equity,Support services,,,,2026-06-30,Wikipedia FTSE 100 constituents,https://en.wikipedia.org/wiki/FTSE_100_Index,public_web_source,True,False,False,True,direct_listing,index_proxy,FTSE 100 index proxy retrieved 2026-06-30; Yahoo suffix .L applied for price lookup.
BRBY.L,Burberry Group,global_equity_uk,Europe,United Kingdom,London Stock Exchange,GBP,equity,Personal goods,,,,2026-06-30,Wikipedia FTSE 100 constituents,https://en.wikipedia.org/wiki/FTSE_100_Index,public_web_source,True,False,False,True,direct_listing,index_proxy,FTSE 100 index proxy retrieved 2026-06-30; Yahoo suffix .L applied for price lookup.
CNA.L,Centrica,global_equity_uk,Europe,United Kingdom,London Stock Exchange,GBP,equity,Multiline utilities,,,,2026-06-30,Wikipedia FTSE 100 constituents,https://en.wikipedia.org/wiki/FTSE_100_Index,public_web_source,True,False,False,True,direct_listing,index_proxy,FTSE 100 index proxy retrieved 2026-06-30; Yahoo suffix .L applied for price lookup.
CCEP.L,Coca-Cola Europacific Partners,global_equity_uk,Europe,United Kingdom,London Stock Exchange,GBP,equity,Beverages,,,,2026-06-30,Wikipedia FTSE 100 constituents,https://en.wikipedia.org/wiki/FTSE_100_Index,public_web_source,True,False,False,True,direct_listing,index_proxy,FTSE 100 index proxy retrieved 2026-06-30; Yahoo suffix .L applied for price lookup.
CCH.L,Coca-Cola HBC,global_equity_uk,Europe,United Kingdom,London Stock Exchange,GBP,equity,Beverages,,,,2026-06-30,Wikipedia FTSE 100 constituents,https://en.wikipedia.org/wiki/FTSE_100_Index,public_web_source,True,False,False,True,direct_listing,index_proxy,FTSE 100 index proxy retrieved 2026-06-30; Yahoo suffix .L applied for price lookup.
CPG.L,Compass Group,global_equity_uk,Europe,United Kingdom,London Stock Exchange,GBP,equity,Support services,,,,2026-06-30,Wikipedia FTSE 100 constituents,https://en.wikipedia.org/wiki/FTSE_100_Index,public_web_source,True,False,False,True,direct_listing,index_proxy,FTSE 100 index proxy retrieved 2026-06-30; Yahoo suffix .L applied for price lookup.
CCC.L,Computacenter,global_equity_uk,Europe,United Kingdom,London Stock Exchange,GBP,equity,Software & Computer Services,,,,2026-06-30,Wikipedia FTSE 100 constituents,https://en.wikipedia.org/wiki/FTSE_100_Index,public_web_source,True,False,False,True,direct_listing,index_proxy,FTSE 100 index proxy retrieved 2026-06-30; Yahoo suffix .L applied for price lookup.
CTEC.L,Convatec,global_equity_uk,Europe,United Kingdom,London Stock Exchange,GBP,equity,Health care equipment & supplies,,,,2026-06-30,Wikipedia FTSE 100 constituents,https://en.wikipedia.org/wiki/FTSE_100_Index,public_web_source,True,False,False,True,direct_listing,index_proxy,FTSE 100 index proxy retrieved 2026-06-30; Yahoo suffix .L applied for price lookup.
CRDA.L,Croda International,global_equity_uk,Europe,United Kingdom,London Stock Exchange,GBP,equity,Chemicals,,,,2026-06-30,Wikipedia FTSE 100 constituents,https://en.wikipedia.org/wiki/FTSE_100_Index,public_web_source,True,False,False,True,direct_listing,index_proxy,FTSE 100 index proxy retrieved 2026-06-30; Yahoo suffix .L applied for price lookup.
DCC.L,DCC plc,global_equity_uk,Europe,United Kingdom,London Stock Exchange,GBP,equity,Support services,,,,2026-06-30,Wikipedia FTSE 100 constituents,https://en.wikipedia.org/wiki/FTSE_100_Index,public_web_source,True,False,False,True,direct_listing,index_proxy,FTSE 100 index proxy retrieved 2026-06-30; Yahoo suffix .L applied for price lookup.
DGE.L,Diageo,global_equity_uk,Europe,United Kingdom,London Stock Exchange,GBP,equity,Beverages,,,,2026-06-30,Wikipedia FTSE 100 constituents,https://en.wikipedia.org/wiki/FTSE_100_Index,public_web_source,True,False,False,True,direct_listing,index_proxy,FTSE 100 index proxy retrieved 2026-06-30; Yahoo suffix .L applied for price lookup.
DPLM.L,Diploma,global_equity_uk,Europe,United Kingdom,London Stock Exchange,GBP,equity,Industrial Support services,,,,2026-06-30,Wikipedia FTSE 100 constituents,https://en.wikipedia.org/wiki/FTSE_100_Index,public_web_source,True,False,False,True,direct_listing,index_proxy,FTSE 100 index proxy retrieved 2026-06-30; Yahoo suffix .L applied for price lookup.
EDV.L,Endeavour Mining,global_equity_uk,Europe,United Kingdom,London Stock Exchange,GBP,equity,Mining,,,,2026-06-30,Wikipedia FTSE 100 constituents,https://en.wikipedia.org/wiki/FTSE_100_Index,public_web_source,True,False,False,True,direct_listing,index_proxy,FTSE 100 index proxy retrieved 2026-06-30; Yahoo suffix .L applied for price lookup.
ENT.L,Entain,global_equity_uk,Europe,United Kingdom,London Stock Exchange,GBP,equity,Travel & leisure,,,,2026-06-30,Wikipedia FTSE 100 constituents,https://en.wikipedia.org/wiki/FTSE_100_Index,public_web_source,True,False,False,True,direct_listing,index_proxy,FTSE 100 index proxy retrieved 2026-06-30; Yahoo suffix .L applied for price lookup.
EXPN.L,Experian,global_equity_uk,Europe,United Kingdom,London Stock Exchange,GBP,equity,Support services,,,,2026-06-30,Wikipedia FTSE 100 constituents,https://en.wikipedia.org/wiki/FTSE_100_Index,public_web_source,True,False,False,True,direct_listing,index_proxy,FTSE 100 index proxy retrieved 2026-06-30; Yahoo suffix .L applied for price lookup.
FCIT.L,F & C Investment Trust,global_equity_uk,Europe,United Kingdom,London Stock Exchange,GBP,equity,Collective investments,,,,2026-06-30,Wikipedia FTSE 100 constituents,https://en.wikipedia.org/wiki/FTSE_100_Index,public_web_source,True,False,False,True,direct_listing,index_proxy,FTSE 100 index proxy retrieved 2026-06-30; Yahoo suffix .L applied for price lookup.
FRES.L,Fresnillo plc,global_equity_uk,Europe,United Kingdom,London Stock Exchange,GBP,equity,Mining,,,,2026-06-30,Wikipedia FTSE 100 constituents,https://en.wikipedia.org/wiki/FTSE_100_Index,public_web_source,True,False,False,True,direct_listing,index_proxy,FTSE 100 index proxy retrieved 2026-06-30; Yahoo suffix .L applied for price lookup.
GAW.L,Games Workshop,global_equity_uk,Europe,United Kingdom,London Stock Exchange,GBP,equity,Leisure Goods,,,,2026-06-30,Wikipedia FTSE 100 constituents,https://en.wikipedia.org/wiki/FTSE_100_Index,public_web_source,True,False,False,True,direct_listing,index_proxy,FTSE 100 index proxy retrieved 2026-06-30; Yahoo suffix .L applied for price lookup.
GLEN.L,Glencore,global_equity_uk,Europe,United Kingdom,London Stock Exchange,GBP,equity,Mining,,,,2026-06-30,Wikipedia FTSE 100 constituents,https://en.wikipedia.org/wiki/FTSE_100_Index,public_web_source,True,False,False,True,direct_listing,index_proxy,FTSE 100 index proxy retrieved 2026-06-30; Yahoo suffix .L applied for price lookup.
GSK.L,GSK plc,global_equity_uk,Europe,United Kingdom,London Stock Exchange,GBP,equity,Pharmaceuticals & biotechnology,,,,2026-06-30,Wikipedia FTSE 100 constituents,https://en.wikipedia.org/wiki/FTSE_100_Index,public_web_source,True,False,False,True,direct_listing,index_proxy,FTSE 100 index proxy retrieved 2026-06-30; Yahoo suffix .L applied for price lookup.
HLN.L,Haleon,global_equity_uk,Europe,United Kingdom,London Stock Exchange,GBP,equity,Pharmaceuticals & biotechnology,,,,2026-06-30,Wikipedia FTSE 100 constituents,https://en.wikipedia.org/wiki/FTSE_100_Index,public_web_source,True,False,False,True,direct_listing,index_proxy,FTSE 100 index proxy retrieved 2026-06-30; Yahoo suffix .L applied for price lookup.
HLMA.L,Halma plc,global_equity_uk,Europe,United Kingdom,London Stock Exchange,GBP,equity,Electronic equipment & parts,,,,2026-06-30,Wikipedia FTSE 100 constituents,https://en.wikipedia.org/wiki/FTSE_100_Index,public_web_source,True,False,False,True,direct_listing,index_proxy,FTSE 100 index proxy retrieved 2026-06-30; Yahoo suffix .L applied for price lookup.
HSX.L,Hiscox,global_equity_uk,Europe,United Kingdom,London Stock Exchange,GBP,equity,Non-life Insurance,,,,2026-06-30,Wikipedia FTSE 100 constituents,https://en.wikipedia.org/wiki/FTSE_100_Index,public_web_source,True,False,False,True,direct_listing,index_proxy,FTSE 100 index proxy retrieved 2026-06-30; Yahoo suffix .L applied for price lookup.
HWDN.L,Howdens Joinery,global_equity_uk,Europe,United Kingdom,London Stock Exchange,GBP,equity,Homebuilding & construction supplies,,,,2026-06-30,Wikipedia FTSE 100 constituents,https://en.wikipedia.org/wiki/FTSE_100_Index,public_web_source,True,False,False,True,direct_listing,index_proxy,FTSE 100 index proxy retrieved 2026-06-30; Yahoo suffix .L applied for price lookup.
