ticker,name,exchange,country,currency,source,source_url,as_of_date,data_provider,market_cap_usd,market_cap_rank,sector,industry,notes,source_method,rank_universe,rank_method
NVDA,NVIDIA Corporation,NMS,United States,USD,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/NVDA,2026-07-02,Yahoo Finance via yfinance,4785584996352.0,1,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=USD; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance US equities on NMS/NYQ sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
GOOGL,Alphabet Inc.,NMS,United States,USD,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/GOOGL,2026-07-02,Yahoo Finance via yfinance,4407691313152.0,2,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=USD; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance US equities on NMS/NYQ sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
GOOG,Alphabet Inc.,NMS,United States,USD,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/GOOG,2026-07-02,Yahoo Finance via yfinance,4367179055104.0,3,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=USD; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance US equities on NMS/NYQ sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
AAPL,Apple Inc.,NMS,United States,USD,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/AAPL,2026-07-02,Yahoo Finance via yfinance,4323663937536.0,4,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=USD; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance US equities on NMS/NYQ sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
MSFT,Microsoft Corporation,NMS,United States,USD,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/MSFT,2026-07-02,Yahoo Finance via yfinance,2854599000064.0,5,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=USD; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance US equities on NMS/NYQ sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
AMZN,"Amazon.com, Inc.",NMS,United States,USD,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/AMZN,2026-07-02,Yahoo Finance via yfinance,2599993475072.0,6,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=USD; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance US equities on NMS/NYQ sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
TSM,Taiwan Semiconductor Manufactur,NYQ,United States,USD,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/TSM,2026-07-02,Yahoo Finance via yfinance,2303987286016.0,7,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=USD; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance US equities on NMS/NYQ sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
SPCX,Space Exploration Technologies ,NMS,United States,USD,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/SPCX,2026-07-02,Yahoo Finance via yfinance,2075461287936.0,8,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=USD; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance US equities on NMS/NYQ sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
AVGO,Broadcom Inc.,NMS,United States,USD,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/AVGO,2026-07-02,Yahoo Finance via yfinance,1757164732416.0,9,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=USD; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance US equities on NMS/NYQ sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
TSLA,"Tesla, Inc.",NMS,United States,USD,Yahoo Finance Equity Screener,https://finance.yahoo.com/quote/TSLA,2026-07-02,Yahoo Finance via yfinance,1597309321216.0,10,,,api_market_cap_enriched; public Yahoo Finance screener result; not official exchange top-100 evidence; current research input only; not point-in-time historical membership; cross-listing/domicile review required where applicable; raw_currency=USD; source_screener=https://finance.yahoo.com/screener/new,api_market_cap_enriched,Yahoo Finance US equities on NMS/NYQ sorted by marketCap,computed_from_yahoo_market_cap_same_retrieval_date
